timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;137.050007;f_1.0;151850904#1_0;1.700000;0.000000;0.000000;vehDist4;11.547596;48.159137
1.00;137.050007;f_1.0;151850904#1_0;2.252971;0.000000;0.552971;vehDist4;11.547601;48.159133
2.00;137.050007;f_1.0;151850904#1_0;3.433092;0.000000;1.180121;vehDist4;11.547611;48.159125
3.00;137.050007;f_1.0;151850904#1_0;5.228491;0.000000;1.795399;vehDist4;11.547627;48.159113
4.00;137.050007;f_1.0;151850904#1_0;7.512035;0.000000;2.283543;vehDist4;11.547647;48.159097
5.00;137.050007;f_1.0;151850904#1_0;10.619638;0.000000;3.107603;vehDist4;11.547674;48.159076
5.00;137.050007;f_1.1;151850904#1_0;1.700000;0.000000;0.000000;vehDist74;11.547596;48.159137
6.00;137.050007;f_1.0;151850904#1_0;14.358536;0.000000;3.738898;vehDist4;11.547707;48.159051
6.00;137.050007;f_1.1;151850904#1_0;2.224632;0.000000;0.524632;vehDist74;11.547600;48.159133
7.00;137.050007;f_1.0;151850904#1_0;18.931123;0.000000;4.572587;vehDist4;11.547748;48.159020
7.00;137.050007;f_1.1;151850904#1_0;3.078166;0.000000;0.853534;vehDist74;11.547608;48.159127
8.00;137.050007;f_1.0;151850904#1_0;24.222427;0.000000;5.291303;vehDist4;11.547794;48.158984
8.00;137.050007;f_1.1;151850904#1_0;4.323423;0.000000;1.245257;vehDist74;11.547619;48.159119
9.00;137.050007;f_1.0;151850904#1_0;29.816157;0.000000;5.593731;vehDist4;11.547844;48.158946
9.00;137.050007;f_1.1;151850904#1_0;6.057645;0.000000;1.734223;vehDist74;11.547634;48.159107
10.00;137.375341;f_1.0;:cluster_30976055_773287642_8_0;0.711807;0.000000;5.485649;vehDist4;11.547892;48.158909
10.00;137.050007;f_1.1;151850904#1_0;8.104632;0.000000;2.046987;vehDist74;11.547652;48.159093
10.00;137.050007;f_1.2;151850904#1_0;1.700000;0.000000;0.000000;vehDist29;11.547596;48.159137
11.00;137.783976;f_1.0;:cluster_30976055_773287642_8_0;6.535035;0.000000;5.823229;vehDist4;11.547942;48.158869
11.00;137.050007;f_1.1;151850904#1_0;10.640556;0.000000;2.535924;vehDist74;11.547675;48.159076
11.00;137.050007;f_1.2;151850904#1_0;2.087366;0.000000;0.387366;vehDist29;11.547599;48.159134
12.00;137.783976;f_1.0;:cluster_30976055_773287642_8_0;12.061535;0.000000;5.526500;vehDist4;11.547990;48.158831
12.00;137.050007;f_1.1;151850904#1_0;13.591172;0.000000;2.950616;vehDist74;11.547701;48.159056
12.00;137.050007;f_1.2;151850904#1_0;3.212416;0.000000;1.125050;vehDist29;11.547609;48.159126
13.00;138.564999;f_1.0;151850904#2_0;2.761953;0.000000;5.500418;vehDist4;11.548038;48.158794
13.00;137.050007;f_1.1;151850904#1_0;17.019041;0.000000;3.427868;vehDist74;11.547731;48.159033
