timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;280.472929;flow_0.0;482223508#0_0;1.700000;0.000000;0.000000;vehDist;13.331276;52.527215
1.00;280.472929;flow_0.0;482223508#0_0;2.486539;0.000000;0.786539;vehDist;13.331265;52.527216
2.00;280.472929;flow_0.0;482223508#0_0;3.984648;0.000000;1.498109;vehDist;13.331243;52.527218
3.00;280.472929;flow_0.0;482223508#0_0;6.080949;0.000000;2.096302;vehDist;13.331213;52.527221
4.00;280.472929;flow_0.0;482223508#0_0;9.123711;0.000000;3.042762;vehDist;13.331168;52.527225
5.00;280.472929;flow_0.0;482223508#0_0;12.730455;0.000000;3.606744;vehDist;13.331116;52.527231
6.00;280.472929;flow_0.0;482223508#0_0;17.025865;0.000000;4.295410;vehDist;13.331053;52.527237
7.00;280.472929;flow_0.0;482223508#0_0;21.879289;0.000000;4.853424;vehDist;13.330982;52.527244
8.00;280.472929;flow_0.0;482223508#0_0;27.484024;0.000000;5.604734;vehDist;13.330901;52.527252
9.00;285.673411;flow_0.0;:cluster_26726587_26984409_29927301_5500265034_5500265035_5500265036_5500265037_5500265038_5500265039_5500265040_5500265041_5500265042_5500265043_5500265044_6_0;1.348728;0.000000;6.444704;vehDist;13.330807;52.527262
10.00;331.937221;flow_0.0;:cluster_26726587_26984409_29927301_5500265034_5500265035_5500265036_5500265037_5500265038_5500265039_5500265040_5500265041_5500265042_5500265043_5500265044_6_0;8.462534;0.000000;7.113807;vehDist;13.330723;52.527296
11.00;9.559262;flow_0.0;4703556#1_0;3.349215;0.000000;7.456681;vehDist;13.330705;52.527363
12.00;9.559262;flow_0.0;4703556#1_0;11.088793;0.000000;7.739578;vehDist;13.330721;52.527431
13.00;9.559262;flow_0.0;4703556#1_0;18.671780;0.000000;7.582987;vehDist;13.330737;52.527499
14.00;9.559262;flow_0.0;4703556#1_0;26.054669;0.000000;7.382889;vehDist;13.330753;52.527565
15.00;9.559262;flow_0.0;4703556#1_0;33.462105;0.000000;7.407436;vehDist;13.330768;52.527631
16.00;9.559262;flow_0.0;4703556#1_0;40.722534;0.000000;7.260429;vehDist;13.330784;52.527695
17.00;9.559262;flow_0.0;4703556#1_0;48.068838;0.000000;7.346305;vehDist;13.330799;52.527760
18.00;9.559262;flow_0.0;4703556#1_0;55.466687;0.000000;7.397849;vehDist;13.330815;52.527826
19.00;9.559262;flow_0.0;4703556#1_0;62.814601;0.000000;7.347914;vehDist;13.330830;52.527892
20.00;9.559262;flow_0.0;4703556#1_0;70.138108;0.000000;7.323507;vehDist;13.330846;52.527957
21.00;9.559262;flow_0.0;4703556#1_0;77.532520;0.000000;7.394412;vehDist;13.330861;52.528023
22.00;9.559262;flow_0.0;4703556#1_0;85.005308;0.000000;7.472787;vehDist;13.330877;52.528089
23.00;9.559262;flow_0.0;4703556#1_0;92.480986;0.000000;7.475679;vehDist;13.330893;52.528156
24.00;9.559262;flow_0.0;4703556#1_0;99.867547;0.000000;7.386561;vehDist;13.330909;52.528221
25.00;9.559262;flow_0.0;4703556#1_0;107.124363;0.000000;7.256815;vehDist;13.330924;52.528286
26.00;9.559262;flow_0.0;4703556#1_0;114.793219;0.000000;7.668857;vehDist;13.330940;52.528354
27.00;9.559262;flow_0.0;4703556#1_0;122.453664;0.000000;7.660445;vehDist;13.330956;52.528422
28.00;9.559262;flow_0.0;4703556#1_0;127.983019;0.000000;5.529355;vehDist;13.330968;52.528471
29.00;288.188656;flow_0.0;203910785_0;0.733610;0.000000;3.540591;vehDist;13.330939;52.528491
30.00;281.390336;flow_0.0;203910785_0;4.797791;0.000000;4.064181;vehDist;13.330880;52.528498
31.00;296.926350;flow_0.0;:29927303_0_0;2.675688;0.000000;4.867898;vehDist;13.330812;52.528510
32.00;350.351955;flow_0.0;:29927303_0_0;7.360818;0.000000;4.685129;vehDist;13.330781;52.528546
33.00;358.193161;flow_0.0;-405894861_0;2.137798;0.000000;2.376980;vehDist;13.330778;52.528567
34.00;7.674514;flow_0.0;-405894861_0;4.491507;0.000000;2.353710;vehDist;13.330780;52.528588
35.00;9.677013;flow_0.0;-405894861_0;7.300222;0.000000;2.808714;vehDist;13.330786;52.528613
36.00;9.677013;flow_0.0;-405894861_0;9.942469;0.000000;2.642248;vehDist;13.330792;52.528637
37.00;9.677013;flow_0.0;-405894861_0;12.683504;0.000000;2.741035;vehDist;13.330798;52.528661
38.00;9.677013;flow_0.0;-405894861_0;15.272206;0.000000;2.588701;vehDist;13.330803;52.528684
39.00;9.677013;flow_0.0;-405894861_0;18.011161;0.000000;2.738955;vehDist;13.330809;52.528708
40.00;9.677013;flow_0.0;-405894861_0;20.380710;0.000000;2.369549;vehDist;13.330814;52.528729
41.00;9.677013;flow_0.0;-405894861_0;22.703960;0.000000;2.323250;vehDist;13.330819;52.528750
42.00;9.677013;flow_0.0;-405894861_0;25.270661;0.000000;2.566701;vehDist;13.330825;52.528773
43.00;9.677013;flow_0.0;-405894861_0;27.591673;0.000000;2.321013;vehDist;13.330830;52.528794
