timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;280.47;flow_0.0;482223508#0_0;1.70;0.00;0.00;vehDist74;13.331276;52.527215
1.00;280.47;flow_0.0;482223508#0_0;2.64;0.00;0.94;vehDist74;13.331263;52.527216
2.00;280.47;flow_0.0;482223508#0_0;4.42;0.00;1.78;vehDist74;13.331237;52.527219
3.00;280.47;flow_0.0;482223508#0_0;6.92;0.00;2.50;vehDist74;13.331200;52.527222
4.00;280.47;flow_0.0;482223508#0_0;10.54;0.00;3.62;vehDist74;13.331148;52.527227
5.00;280.47;flow_0.0;482223508#0_0;14.73;0.00;4.18;vehDist74;13.331087;52.527233
6.00;280.47;flow_0.0;482223508#0_0;19.01;0.00;4.29;vehDist74;13.331024;52.527240
7.00;280.47;flow_0.0;482223508#0_0;23.25;0.00;4.24;vehDist74;13.330962;52.527246
8.00;280.47;flow_0.0;482223508#0_0;27.52;0.00;4.27;vehDist74;13.330900;52.527252
9.00;280.47;flow_0.0;482223508#0_0;31.85;0.00;4.33;vehDist74;13.330837;52.527258
10.00;286.64;flow_0.0;:cluster_26726587_26984409_29927301_5500265034_5500265035_5500265036_5500265037_5500265038_5500265039_5500265040_5500265041_5500265042_5500265043_5500265044_6_0;3.55;0.00;4.28;vehDist74;13.330776;52.527267
11.00;320.59;flow_0.0;:cluster_26726587_26984409_29927301_5500265034_5500265035_5500265036_5500265037_5500265038_5500265039_5500265040_5500265041_5500265042_5500265043_5500265044_6_0;7.78;0.00;4.23;vehDist74;13.330728;52.527290
12.00;359.05;flow_0.0;:cluster_26726587_26984409_29927301_5500265034_5500265035_5500265036_5500265037_5500265038_5500265039_5500265040_5500265041_5500265042_5500265043_5500265044_6_0;12.14;0.00;4.36;vehDist74;13.330714;52.527328
13.00;9.56;flow_0.0;4703556#1_0;3.88;0.00;4.31;vehDist74;13.330706;52.527367
14.00;9.56;flow_0.0;4703556#1_0;8.17;0.00;4.29;vehDist74;13.330715;52.527406
15.00;9.56;flow_0.0;4703556#1_0;12.42;0.00;4.24;vehDist74;13.330724;52.527443
16.00;9.56;flow_0.0;4703556#1_0;16.61;0.00;4.19;vehDist74;13.330733;52.527481
17.00;9.56;flow_0.0;4703556#1_0;20.75;0.00;4.14;vehDist74;13.330742;52.527517
18.00;9.56;flow_0.0;4703556#1_0;24.85;0.00;4.09;vehDist74;13.330750;52.527554
19.00;9.56;flow_0.0;4703556#1_0;28.89;0.00;4.04;vehDist74;13.330759;52.527590
20.00;9.56;flow_0.0;4703556#1_0;32.89;0.00;3.99;vehDist74;13.330767;52.527625
21.00;9.56;flow_0.0;4703556#1_0;36.83;0.00;3.94;vehDist74;13.330776;52.527660
22.00;9.56;flow_0.0;4703556#1_0;40.73;0.00;3.89;vehDist74;13.330784;52.527695
23.00;9.56;flow_0.0;4703556#1_0;44.57;0.00;3.84;vehDist74;13.330792;52.527729
24.00;9.56;flow_0.0;4703556#1_0;48.36;0.00;3.79;vehDist74;13.330800;52.527763
25.00;9.56;flow_0.0;4703556#1_0;52.11;0.00;3.74;vehDist74;13.330808;52.527796
26.00;9.56;flow_0.0;4703556#1_0;55.80;0.00;3.69;vehDist74;13.330816;52.527829
27.00;9.56;flow_0.0;4703556#1_0;59.45;0.00;3.64;vehDist74;13.330823;52.527862
28.00;9.56;flow_0.0;4703556#1_0;63.04;0.00;3.59;vehDist74;13.330831;52.527894
29.00;9.56;flow_0.0;4703556#1_0;66.58;0.00;3.54;vehDist74;13.330838;52.527925
30.00;9.56;flow_0.0;4703556#1_0;70.08;0.00;3.49;vehDist74;13.330846;52.527956
31.00;9.56;flow_0.0;4703556#1_0;73.52;0.00;3.44;vehDist74;13.330853;52.527987
32.00;9.56;flow_0.0;4703556#1_0;76.92;0.00;3.39;vehDist74;13.330860;52.528017
33.00;9.56;flow_0.0;4703556#1_0;80.26;0.00;3.34;vehDist74;13.330867;52.528047
34.00;9.56;flow_0.0;4703556#1_0;83.55;0.00;3.29;vehDist74;13.330874;52.528076
35.00;9.56;flow_0.0;4703556#1_0;86.80;0.00;3.24;vehDist74;13.330881;52.528105
36.00;9.56;flow_0.0;4703556#1_0;89.99;0.00;3.19;vehDist74;13.330888;52.528133
37.00;9.56;flow_0.0;4703556#1_0;93.14;0.00;3.14;vehDist74;13.330894;52.528161
38.00;9.56;flow_0.0;4703556#1_0;96.23;0.00;3.09;vehDist74;13.330901;52.528189
39.00;9.56;flow_0.0;4703556#1_0;99.28;0.00;3.04;vehDist74;13.330907;52.528216
40.00;9.56;flow_0.0;4703556#1_0;102.27;0.00;2.99;vehDist74;13.330914;52.528243
41.00;9.56;flow_0.0;4703556#1_0;105.21;0.00;2.94;vehDist74;13.330920;52.528269
42.00;9.56;flow_0.0;4703556#1_0;108.11;0.00;2.89;vehDist74;13.330926;52.528295
43.00;9.56;flow_0.0;4703556#1_0;110.95;0.00;2.84;vehDist74;13.330932;52.528320
44.00;9.56;flow_0.0;4703556#1_0;113.75;0.00;2.79;vehDist74;13.330938;52.528345
45.00;9.56;flow_0.0;4703556#1_0;116.49;0.00;2.74;vehDist74;13.330944;52.528369
46.00;9.56;flow_0.0;4703556#1_0;119.18;0.00;2.69;vehDist74;13.330949;52.528393
47.00;9.56;flow_0.0;4703556#1_0;121.83;0.00;2.64;vehDist74;13.330955;52.528417
48.00;9.56;flow_0.0;4703556#1_0;124.42;0.00;2.59;vehDist74;13.330960;52.528440
49.00;9.56;flow_0.0;4703556#1_0;126.97;0.00;2.54;vehDist74;13.330966;52.528462
50.00;356.81;flow_0.0;:29927302_0_0;1.19;0.00;2.49;vehDist74;13.330966;52.528484
51.00;283.85;flow_0.0;203910785_0;1.11;0.00;2.44;vehDist74;13.330933;52.528492
52.00;281.39;flow_0.0;203910785_0;3.51;0.00;2.39;vehDist74;13.330898;52.528496
53.00;281.39;flow_0.0;203910785_0;5.85;0.00;2.34;vehDist74;13.330864;52.528499
54.00;286.94;flow_0.0;:29927303_0_0;1.16;0.00;2.29;vehDist74;13.330832;52.528504
55.00;305.73;flow_0.0;:29927303_0_0;3.40;0.00;2.24;vehDist74;13.330803;52.528514
56.00;331.28;flow_0.0;:29927303_0_0;5.60;0.00;2.19;vehDist74;13.330785;52.528530
57.00;351.04;flow_0.0;-405894861_0;0.14;0.00;2.14;vehDist74;13.330780;52.528549
58.00;358.19;flow_0.0;-405894861_0;2.23;0.00;2.09;vehDist74;13.330778;52.528568
59.00;6.16;flow_0.0;-405894861_0;4.28;0.00;2.05;vehDist74;13.330780;52.528586
60.00;9.68;flow_0.0;-405894861_0;6.28;0.00;2.00;vehDist74;13.330784;52.528604
61.00;9.68;flow_0.0;-405894861_0;8.23;0.00;1.95;vehDist74;13.330788;52.528621
62.00;9.68;flow_0.0;-405894861_0;10.12;0.00;1.90;vehDist74;13.330792;52.528638
63.00;9.68;flow_0.0;-405894861_0;11.97;0.00;1.85;vehDist74;13.330796;52.528655
64.00;9.68;flow_0.0;-405894861_0;13.77;0.00;1.80;vehDist74;13.330800;52.528671
65.00;9.68;flow_0.0;-405894861_0;15.52;0.00;1.75;vehDist74;13.330804;52.528686
66.00;9.68;flow_0.0;-405894861_0;17.21;0.00;1.70;vehDist74;13.330807;52.528701
67.00;9.68;flow_0.0;-405894861_0;18.86;0.00;1.65;vehDist74;13.330811;52.528716
68.00;9.68;flow_0.0;-405894861_0;20.46;0.00;1.60;vehDist74;13.330814;52.528730
69.00;9.68;flow_0.0;-405894861_0;22.01;0.00;1.55;vehDist74;13.330818;52.528744
70.00;9.68;flow_0.0;-405894861_0;23.50;0.00;1.50;vehDist74;13.330821;52.528757
71.00;9.68;flow_0.0;-405894861_0;24.95;0.00;1.45;vehDist74;13.330824;52.528770
72.00;9.68;flow_0.0;-405894861_0;26.35;0.00;1.40;vehDist74;13.330827;52.528782
73.00;9.68;flow_0.0;-405894861_0;27.70;0.00;1.35;vehDist74;13.330830;52.528794
74.00;9.68;flow_0.0;-405894861_0;28.99;0.00;1.30;vehDist74;13.330833;52.528806
75.00;9.68;flow_0.0;-405894861_0;30.24;0.00;1.25;vehDist74;13.330835;52.528817
76.00;9.68;flow_0.0;-405894861_0;31.44;0.00;1.20;vehDist74;13.330838;52.528828
77.00;9.68;flow_0.0;-405894861_0;32.59;0.00;1.15;vehDist74;13.330840;52.528838
78.00;9.68;flow_0.0;-405894861_0;33.68;0.00;1.10;vehDist74;13.330843;52.528848
79.00;9.68;flow_0.0;-405894861_0;34.73;0.00;1.05;vehDist74;13.330845;52.528857
80.00;9.68;flow_0.0;-405894861_0;35.73;0.00;1.00;vehDist74;13.330847;52.528866
81.00;9.68;flow_0.0;-405894861_0;36.68;0.00;0.95;vehDist74;13.330849;52.528874
82.00;9.68;flow_0.0;-405894861_0;37.57;0.00;0.90;vehDist74;13.330851;52.528882
83.00;9.68;flow_0.0;-405894861_0;38.42;0.00;0.85;vehDist74;13.330853;52.528890
84.00;9.68;flow_0.0;-405894861_0;39.22;0.00;0.80;vehDist74;13.330854;52.528897
85.00;9.68;flow_0.0;-405894861_0;39.97;0.00;0.75;vehDist74;13.330856;52.528904
86.00;9.68;flow_0.0;-405894861_0;40.66;0.00;0.70;vehDist74;13.330858;52.528910
87.00;9.68;flow_0.0;-405894861_0;41.31;0.00;0.65;vehDist74;13.330859;52.528916
88.00;9.68;flow_0.0;-405894861_0;43.17;0.00;1.86;vehDist74;13.330863;52.528932
89.00;9.80;flow_0.0;:26757043_7_0;0.55;0.00;2.67;vehDist74;13.330869;52.528956
90.00;10.02;flow_0.0;:26757043_7_0;3.97;0.00;3.42;vehDist74;13.330876;52.528986
91.00;10.02;flow_0.0;:26757043_7_0;7.88;0.00;3.91;vehDist74;13.330885;52.529021
92.00;10.02;flow_0.0;:26757043_7_0;11.86;0.00;3.98;vehDist74;13.330894;52.529056
93.00;10.36;flow_0.0;-29400740#5_0;1.37;0.00;3.93;vehDist74;13.330903;52.529091
94.00;10.42;flow_0.0;-29400740#5_0;5.41;0.00;4.03;vehDist74;13.330912;52.529127
95.00;10.42;flow_0.0;-29400740#5_0;9.39;0.00;3.98;vehDist74;13.330921;52.529162
96.00;10.42;flow_0.0;-29400740#5_0;13.43;0.00;4.04;vehDist74;13.330931;52.529198
97.00;10.42;flow_0.0;-29400740#5_0;17.61;0.00;4.18;vehDist74;13.330941;52.529235
98.00;10.42;flow_0.0;-29400740#5_0;21.74;0.00;4.13;vehDist74;13.330950;52.529272
99.00;10.42;flow_0.0;-29400740#5_0;25.82;0.00;4.08;vehDist74;13.330960;52.529308
100.00;10.42;flow_0.0;-29400740#5_0;29.86;0.00;4.03;vehDist74;13.330969;52.529344
101.00;10.42;flow_0.0;-29400740#5_0;33.84;0.00;3.98;vehDist74;13.330978;52.529379
102.00;10.42;flow_0.0;-29400740#5_0;37.77;0.00;3.93;vehDist74;13.330988;52.529414
103.00;10.42;flow_0.0;-29400740#5_0;41.65;0.00;3.88;vehDist74;13.330997;52.529449
104.00;10.42;flow_0.0;-29400740#5_0;45.48;0.00;3.83;vehDist74;13.331006;52.529483
105.00;10.42;flow_0.0;-29400740#5_0;49.26;0.00;3.78;vehDist74;13.331014;52.529516
106.00;10.42;flow_0.0;-29400740#5_0;52.99;0.00;3.73;vehDist74;13.331023;52.529549
107.00;10.42;flow_0.0;-29400740#5_0;56.68;0.00;3.68;vehDist74;13.331032;52.529582
108.00;10.42;flow_0.0;-29400740#5_0;60.31;0.00;3.63;vehDist74;13.331040;52.529614
109.00;10.42;flow_0.0;-29400740#5_0;63.89;0.00;3.58;vehDist74;13.331048;52.529646
110.00;10.42;flow_0.0;-29400740#5_0;67.42;0.00;3.53;vehDist74;13.331057;52.529677
111.00;10.42;flow_0.0;-29400740#5_0;70.90;0.00;3.48;vehDist74;13.331065;52.529708
112.00;10.42;flow_0.0;-29400740#5_0;74.33;0.00;3.43;vehDist74;13.331073;52.529739
113.00;10.42;flow_0.0;-29400740#5_0;77.71;0.00;3.38;vehDist74;13.331081;52.529769
114.00;10.42;flow_0.0;-29400740#5_0;81.05;0.00;3.33;vehDist74;13.331088;52.529798
115.00;10.42;flow_0.0;-29400740#5_0;84.33;0.00;3.28;vehDist74;13.331096;52.529828
116.00;10.42;flow_0.0;-29400740#5_0;87.56;0.00;3.23;vehDist74;13.331104;52.529856
117.00;10.42;flow_0.0;-29400740#5_0;90.74;0.00;3.18;vehDist74;13.331111;52.529884
