timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;280.47;flow_0.0;482223508#0_0;1.70;0.00;0.00;vehDist74;13.331276;52.527215
1.00;280.47;flow_0.0;482223508#0_0;2.52;0.00;0.82;vehDist74;13.331265;52.527216
2.00;280.47;flow_0.0;482223508#0_0;4.07;0.00;1.56;vehDist74;13.331242;52.527218
3.00;280.47;flow_0.0;482223508#0_0;6.25;0.00;2.18;vehDist74;13.331210;52.527221
4.00;280.47;flow_0.0;482223508#0_0;9.41;0.00;3.16;vehDist74;13.331164;52.527226
5.00;280.47;flow_0.0;482223508#0_0;13.16;0.00;3.75;vehDist74;13.331110;52.527231
6.00;280.47;flow_0.0;482223508#0_0;17.62;0.00;4.46;vehDist74;13.331045;52.527238
7.00;280.47;flow_0.0;482223508#0_0;22.66;0.00;5.04;vehDist74;13.330971;52.527245
8.00;280.47;flow_0.0;482223508#0_0;28.48;0.00;5.82;vehDist74;13.330886;52.527253
9.00;286.64;flow_0.0;:cluster_26726587_26984409_29927301_5500265034_5500265035_5500265036_5500265037_5500265038_5500265039_5500265040_5500265041_5500265042_5500265043_5500265044_6_0;2.59;0.00;6.69;vehDist74;13.330790;52.527265
10.00;339.15;flow_0.0;:cluster_26726587_26984409_29927301_5500265034_5500265035_5500265036_5500265037_5500265038_5500265039_5500265040_5500265041_5500265042_5500265043_5500265044_6_0;9.98;0.00;7.39;vehDist74;13.330715;52.527308
11.00;9.56;flow_0.0;4703556#1_0;5.82;0.00;8.41;vehDist74;13.330710;52.527385
12.00;9.56;flow_0.0;4703556#1_0;14.46;0.00;8.64;vehDist74;13.330728;52.527461
13.00;9.56;flow_0.0;4703556#1_0;22.94;0.00;8.48;vehDist74;13.330746;52.527537
14.00;9.56;flow_0.0;4703556#1_0;31.21;0.00;8.27;vehDist74;13.330764;52.527610
15.00;9.56;flow_0.0;4703556#1_0;39.51;0.00;8.30;vehDist74;13.330781;52.527684
16.00;9.56;flow_0.0;4703556#1_0;47.79;0.00;8.28;vehDist74;13.330799;52.527758
17.00;9.56;flow_0.0;4703556#1_0;55.94;0.00;8.14;vehDist74;13.330816;52.527830
18.00;9.56;flow_0.0;4703556#1_0;64.17;0.00;8.23;vehDist74;13.330833;52.527904
19.00;9.56;flow_0.0;4703556#1_0;72.46;0.00;8.29;vehDist74;13.330851;52.527977
20.00;9.56;flow_0.0;4703556#1_0;80.70;0.00;8.24;vehDist74;13.330868;52.528051
21.00;9.56;flow_0.0;4703556#1_0;88.91;0.00;8.21;vehDist74;13.330885;52.528124
22.00;9.56;flow_0.0;4703556#1_0;97.19;0.00;8.28;vehDist74;13.330903;52.528197
23.00;9.56;flow_0.0;4703556#1_0;105.56;0.00;8.37;vehDist74;13.330921;52.528272
24.00;9.56;flow_0.0;4703556#1_0;113.93;0.00;8.37;vehDist74;13.330938;52.528346
25.00;9.56;flow_0.0;4703556#1_0;122.20;0.00;8.28;vehDist74;13.330956;52.528420
26.00;325.03;flow_0.0;:29927302_0_0;2.07;0.00;8.14;vehDist74;13.330956;52.528489
27.00;284.56;flow_0.0;:29927303_0_0;0.66;0.00;8.10;vehDist74;13.330839;52.528503
28.00;353.15;flow_0.0;-405894861_0;0.57;0.00;7.51;vehDist74;13.330779;52.528553
29.00;9.68;flow_0.0;-405894861_0;7.49;0.00;6.92;vehDist74;13.330787;52.528615
30.00;9.68;flow_0.0;-405894861_0;13.87;0.00;6.38;vehDist74;13.330800;52.528671
31.00;9.68;flow_0.0;-405894861_0;19.65;0.00;5.79;vehDist74;13.330813;52.528723
