timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;280.47;flow_0.0;482223508#0_0;1.70;0.00;0.00;vehDist74;13.331276;52.527215
1.00;280.47;flow_0.0;482223508#0_0;2.41;0.00;0.71;vehDist74;13.331266;52.527216
2.00;280.47;flow_0.0;482223508#0_0;3.77;0.00;1.36;vehDist74;13.331246;52.527218
3.00;280.47;flow_0.0;482223508#0_0;5.67;0.00;1.90;vehDist74;13.331219;52.527220
4.00;280.47;flow_0.0;482223508#0_0;8.43;0.00;2.76;vehDist74;13.331178;52.527224
5.00;280.47;flow_0.0;482223508#0_0;11.70;0.00;3.27;vehDist74;13.331131;52.527229
6.00;280.47;flow_0.0;482223508#0_0;15.59;0.00;3.89;vehDist74;13.331074;52.527235
7.00;280.47;flow_0.0;482223508#0_0;19.99;0.00;4.40;vehDist74;13.331010;52.527241
8.00;280.47;flow_0.0;482223508#0_0;25.07;0.00;5.08;vehDist74;13.330936;52.527248
9.00;280.47;flow_0.0;482223508#0_0;30.92;0.00;5.84;vehDist74;13.330851;52.527257
10.00;295.10;flow_0.0;:cluster_26726587_26984409_29927301_5500265034_5500265035_5500265036_5500265037_5500265038_5500265039_5500265040_5500265041_5500265042_5500265043_5500265044_6_0;4.57;0.00;6.23;vehDist74;13.330763;52.527272
11.00;354.28;flow_0.0;:cluster_26726587_26984409_29927301_5500265034_5500265035_5500265036_5500265037_5500265038_5500265039_5500265040_5500265041_5500265042_5500265043_5500265044_6_0;10.86;0.00;6.30;vehDist74;13.330715;52.527316
12.00;9.56;flow_0.0;4703556#1_0;4.87;0.00;6.58;vehDist74;13.330708;52.527376
13.00;9.56;flow_0.0;4703556#1_0;11.48;0.00;6.61;vehDist74;13.330722;52.527435
14.00;9.56;flow_0.0;4703556#1_0;17.95;0.00;6.47;vehDist74;13.330736;52.527493
15.00;9.56;flow_0.0;4703556#1_0;24.24;0.00;6.29;vehDist74;13.330749;52.527548
16.00;9.56;flow_0.0;4703556#1_0;30.54;0.00;6.31;vehDist74;13.330762;52.527605
17.00;9.56;flow_0.0;4703556#1_0;36.84;0.00;6.30;vehDist74;13.330776;52.527661
18.00;9.56;flow_0.0;4703556#1_0;43.31;0.00;6.47;vehDist74;13.330789;52.527718
