timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;280.47;flow_0.0;482223508#0_0;1.70;0.00;0.00;vehDist74;13.331276;52.527215
1.00;280.47;flow_0.0;482223508#0_0;2.27;0.00;0.57;vehDist74;13.331268;52.527216
2.00;280.47;flow_0.0;482223508#0_0;3.37;0.00;1.09;vehDist74;13.331252;52.527217
3.00;280.47;flow_0.0;482223508#0_0;4.89;0.00;1.53;vehDist74;13.331230;52.527219
4.00;280.47;flow_0.0;482223508#0_0;7.11;0.00;2.22;vehDist74;13.331198;52.527223
5.00;280.47;flow_0.0;482223508#0_0;9.74;0.00;2.63;vehDist74;13.331159;52.527226
6.00;280.47;flow_0.0;482223508#0_0;12.87;0.00;3.13;vehDist74;13.331114;52.527231
7.00;280.47;flow_0.0;482223508#0_0;16.41;0.00;3.54;vehDist74;13.331062;52.527236
8.00;280.47;flow_0.0;482223508#0_0;20.50;0.00;4.09;vehDist74;13.331003;52.527242
9.00;280.47;flow_0.0;482223508#0_0;25.20;0.00;4.70;vehDist74;13.330934;52.527248
10.00;280.47;flow_0.0;482223508#0_0;30.21;0.00;5.01;vehDist74;13.330861;52.527256
11.00;286.64;flow_0.0;:cluster_26726587_26984409_29927301_5500265034_5500265035_5500265036_5500265037_5500265038_5500265039_5500265040_5500265041_5500265042_5500265043_5500265044_6_0;2.63;0.00;5.00;vehDist74;13.330789;52.527265
12.00;319.08;flow_0.0;:cluster_26726587_26984409_29927301_5500265034_5500265035_5500265036_5500265037_5500265038_5500265039_5500265040_5500265041_5500265042_5500265043_5500265044_6_0;7.69;0.00;5.06;vehDist74;13.330729;52.527290
13.00;329.85;flow_0.0;4703556#1_0;0.42;0.00;5.29;vehDist74;13.330699;52.527337
14.00;9.56;flow_0.0;4703556#1_0;5.73;0.00;5.32;vehDist74;13.330710;52.527384
15.00;9.56;flow_0.0;4703556#1_0;10.93;0.00;5.20;vehDist74;13.330721;52.527430
16.00;9.56;flow_0.0;4703556#1_0;15.99;0.00;5.06;vehDist74;13.330732;52.527475
17.00;9.56;flow_0.0;4703556#1_0;21.06;0.00;5.07;vehDist74;13.330742;52.527520
18.00;9.56;flow_0.0;4703556#1_0;26.03;0.00;4.97;vehDist74;13.330753;52.527564
19.00;9.56;flow_0.0;4703556#1_0;31.06;0.00;5.03;vehDist74;13.330763;52.527609
20.00;9.56;flow_0.0;4703556#1_0;36.12;0.00;5.07;vehDist74;13.330774;52.527654
21.00;9.56;flow_0.0;4703556#1_0;41.15;0.00;5.03;vehDist74;13.330785;52.527699
22.00;9.56;flow_0.0;4703556#1_0;46.17;0.00;5.01;vehDist74;13.330795;52.527744
23.00;9.56;flow_0.0;4703556#1_0;51.23;0.00;5.06;vehDist74;13.330806;52.527789
24.00;9.56;flow_0.0;4703556#1_0;56.35;0.00;5.12;vehDist74;13.330817;52.527834
25.00;9.56;flow_0.0;4703556#1_0;61.48;0.00;5.12;vehDist74;13.330828;52.527880
26.00;9.56;flow_0.0;4703556#1_0;66.53;0.00;5.06;vehDist74;13.330838;52.527925
27.00;9.56;flow_0.0;4703556#1_0;71.50;0.00;4.96;vehDist74;13.330849;52.527969
28.00;9.56;flow_0.0;4703556#1_0;76.76;0.00;5.26;vehDist74;13.330860;52.528016
29.00;9.56;flow_0.0;4703556#1_0;82.02;0.00;5.26;vehDist74;13.330871;52.528062
30.00;9.56;flow_0.0;4703556#1_0;87.13;0.00;5.11;vehDist74;13.330882;52.528108
31.00;9.56;flow_0.0;4703556#1_0;92.14;0.00;5.02;vehDist74;13.330892;52.528153
32.00;9.56;flow_0.0;4703556#1_0;97.15;0.00;5.01;vehDist74;13.330903;52.528197
33.00;9.56;flow_0.0;4703556#1_0;102.28;0.00;5.13;vehDist74;13.330914;52.528243
34.00;9.56;flow_0.0;4703556#1_0;107.53;0.00;5.25;vehDist74;13.330925;52.528289
35.00;9.56;flow_0.0;4703556#1_0;112.41;0.00;4.89;vehDist74;13.330935;52.528333
36.00;9.56;flow_0.0;4703556#1_0;116.81;0.00;4.40;vehDist74;13.330944;52.528372
37.00;9.56;flow_0.0;4703556#1_0;120.89;0.00;4.08;vehDist74;13.330953;52.528408
38.00;9.56;flow_0.0;4703556#1_0;124.60;0.00;3.71;vehDist74;13.330961;52.528441
39.00;9.56;flow_0.0;4703556#1_0;127.99;0.00;3.39;vehDist74;13.330968;52.528471
40.00;298.23;flow_0.0;203910785_0;0.27;0.00;3.06;vehDist74;13.330946;52.528491
41.00;281.39;flow_0.0;203910785_0;3.71;0.00;3.44;vehDist74;13.330896;52.528496
42.00;283.01;flow_0.0;:29927303_0_0;0.34;0.00;3.62;vehDist74;13.330843;52.528502
43.00;306.56;flow_0.0;:29927303_0_0;3.47;0.00;3.13;vehDist74;13.330803;52.528514
44.00;337.56;flow_0.0;:29927303_0_0;6.12;0.00;2.64;vehDist74;13.330784;52.528535
45.00;353.64;flow_0.0;-405894861_0;0.67;0.00;2.16;vehDist74;13.330779;52.528554
46.00;358.19;flow_0.0;-405894861_0;2.65;0.00;1.98;vehDist74;13.330778;52.528572
47.00;9.68;flow_0.0;-405894861_0;4.96;0.00;2.31;vehDist74;13.330781;52.528592
48.00;9.68;flow_0.0;-405894861_0;7.15;0.00;2.19;vehDist74;13.330786;52.528612
48.00;280.47;flow_0.1;482223508#0_0;1.70;0.00;0.00;vehDist97;13.331276;52.527215
49.00;9.68;flow_0.0;-405894861_0;9.41;0.00;2.26;vehDist74;13.330791;52.528632
49.00;280.47;flow_0.1;482223508#0_0;1.98;0.00;0.28;vehDist97;13.331272;52.527215
50.00;9.68;flow_0.0;-405894861_0;11.56;0.00;2.15;vehDist74;13.330795;52.528651
50.00;280.47;flow_0.1;482223508#0_0;2.66;0.00;0.68;vehDist97;13.331262;52.527216
51.00;9.68;flow_0.0;-405894861_0;13.82;0.00;2.26;vehDist74;13.330800;52.528671
51.00;280.47;flow_0.1;482223508#0_0;3.68;0.00;1.02;vehDist97;13.331248;52.527218
52.00;9.68;flow_0.0;-405894861_0;15.81;0.00;1.99;vehDist74;13.330804;52.528689
52.00;280.47;flow_0.1;482223508#0_0;5.01;0.00;1.33;vehDist97;13.331228;52.527220
53.00;9.68;flow_0.0;-405894861_0;17.76;0.00;1.96;vehDist74;13.330809;52.528706
53.00;280.47;flow_0.1;482223508#0_0;6.86;0.00;1.84;vehDist97;13.331201;52.527222
54.00;9.68;flow_0.0;-405894861_0;19.90;0.00;2.13;vehDist74;13.330813;52.528725
54.00;280.47;flow_0.1;482223508#0_0;9.08;0.00;2.22;vehDist97;13.331169;52.527225
55.00;9.68;flow_0.0;-405894861_0;21.85;0.00;1.95;vehDist74;13.330817;52.528742
55.00;280.47;flow_0.1;482223508#0_0;11.69;0.00;2.61;vehDist97;13.331131;52.527229
56.00;9.68;flow_0.0;-405894861_0;24.11;0.00;2.26;vehDist74;13.330822;52.528763
56.00;280.47;flow_0.1;482223508#0_0;14.68;0.00;2.99;vehDist97;13.331087;52.527233
57.00;9.68;flow_0.0;-405894861_0;26.24;0.00;2.13;vehDist74;13.330827;52.528782
57.00;280.47;flow_0.1;482223508#0_0;18.07;0.00;3.40;vehDist97;13.331038;52.527238
58.00;9.68;flow_0.0;-405894861_0;28.37;0.00;2.13;vehDist74;13.330831;52.528800
58.00;280.47;flow_0.1;482223508#0_0;21.83;0.00;3.76;vehDist97;13.330983;52.527244
59.00;9.68;flow_0.0;-405894861_0;30.44;0.00;2.07;vehDist74;13.330836;52.528819
59.00;280.47;flow_0.1;482223508#0_0;25.89;0.00;4.05;vehDist97;13.330924;52.527249
60.00;9.68;flow_0.0;-405894861_0;32.49;0.00;2.05;vehDist74;13.330840;52.528837
60.00;280.47;flow_0.1;482223508#0_0;29.99;0.00;4.10;vehDist97;13.330864;52.527255
61.00;9.68;flow_0.0;-405894861_0;34.79;0.00;2.30;vehDist74;13.330845;52.528858
61.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;1.59;vehDist97;13.330841;52.527258
62.00;9.68;flow_0.0;-405894861_0;37.01;0.00;2.22;vehDist74;13.330850;52.528877
62.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
63.00;9.68;flow_0.0;-405894861_0;39.07;0.00;2.07;vehDist74;13.330854;52.528896
63.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
64.00;9.68;flow_0.0;-405894861_0;41.04;0.00;1.97;vehDist74;13.330858;52.528913
64.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
65.00;9.68;flow_0.0;-405894861_0;43.25;0.00;2.21;vehDist74;13.330863;52.528933
65.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
66.00;9.72;flow_0.0;:26757043_7_0;0.19;0.00;2.23;vehDist74;13.330868;52.528953
66.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
67.00;10.02;flow_0.0;:26757043_7_0;1.92;0.00;1.74;vehDist74;13.330872;52.528968
67.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
68.00;10.02;flow_0.0;:26757043_7_0;3.17;0.00;1.25;vehDist74;13.330875;52.528979
68.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
69.00;10.02;flow_0.0;:26757043_7_0;4.88;0.00;1.70;vehDist74;13.330878;52.528994
69.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
70.00;10.02;flow_0.0;:26757043_7_0;6.87;0.00;2.00;vehDist74;13.330883;52.529012
70.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
71.00;10.02;flow_0.0;:26757043_7_0;8.82;0.00;1.95;vehDist74;13.330887;52.529029
71.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
72.00;10.02;flow_0.0;:26757043_7_0;11.10;0.00;2.28;vehDist74;13.330892;52.529050
72.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
73.00;10.02;flow_0.0;:26757043_7_0;13.32;0.00;2.22;vehDist74;13.330897;52.529069
73.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
74.00;10.24;flow_0.0;-29400740#5_0;0.89;0.00;1.98;vehDist74;13.330902;52.529087
74.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
75.00;10.42;flow_0.0;-29400740#5_0;2.99;0.00;2.11;vehDist74;13.330907;52.529106
75.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
76.00;10.42;flow_0.0;-29400740#5_0;4.97;0.00;1.98;vehDist74;13.330911;52.529123
76.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
77.00;10.42;flow_0.0;-29400740#5_0;7.13;0.00;2.17;vehDist74;13.330916;52.529142
77.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
78.00;10.42;flow_0.0;-29400740#5_0;9.42;0.00;2.28;vehDist74;13.330922;52.529163
78.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
79.00;10.42;flow_0.0;-29400740#5_0;11.47;0.00;2.05;vehDist74;13.330926;52.529181
79.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
80.00;10.42;flow_0.0;-29400740#5_0;13.42;0.00;1.95;vehDist74;13.330931;52.529198
80.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
81.00;10.42;flow_0.0;-29400740#5_0;15.68;0.00;2.26;vehDist74;13.330936;52.529218
81.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
82.00;10.42;flow_0.0;-29400740#5_0;17.87;0.00;2.20;vehDist74;13.330941;52.529238
82.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
83.00;10.42;flow_0.0;-29400740#5_0;19.98;0.00;2.11;vehDist74;13.330946;52.529256
83.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
84.00;10.42;flow_0.0;-29400740#5_0;22.11;0.00;2.13;vehDist74;13.330951;52.529275
84.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
85.00;10.42;flow_0.0;-29400740#5_0;24.21;0.00;2.10;vehDist74;13.330956;52.529294
85.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
86.00;10.42;flow_0.0;-29400740#5_0;26.19;0.00;1.98;vehDist74;13.330961;52.529312
86.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
87.00;10.42;flow_0.0;-29400740#5_0;28.37;0.00;2.19;vehDist74;13.330966;52.529331
87.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
88.00;10.42;flow_0.0;-29400740#5_0;30.61;0.00;2.23;vehDist74;13.330971;52.529351
88.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
89.00;10.42;flow_0.0;-29400740#5_0;32.80;0.00;2.20;vehDist74;13.330976;52.529370
89.00;280.47;flow_0.1;482223508#0_0;31.58;0.00;0.00;vehDist97;13.330841;52.527258
90.00;10.42;flow_0.0;-29400740#5_0;34.92;0.00;2.12;vehDist74;13.330981;52.529389
90.00;280.47;flow_0.1;482223508#0_0;32.03;0.00;0.45;vehDist97;13.330835;52.527258
91.00;10.42;flow_0.0;-29400740#5_0;37.18;0.00;2.26;vehDist74;13.330986;52.529409
91.00;281.99;flow_0.1;:cluster_26726587_26984409_29927301_5500265034_5500265035_5500265036_5500265037_5500265038_5500265039_5500265040_5500265041_5500265042_5500265043_5500265044_6_0;0.39;0.00;0.94;vehDist97;13.330821;52.527260
92.00;10.42;flow_0.0;-29400740#5_0;39.30;0.00;2.12;vehDist74;13.330991;52.529428
92.00;286.64;flow_0.1;:cluster_26726587_26984409_29927301_5500265034_5500265035_5500265036_5500265037_5500265038_5500265039_5500265040_5500265041_5500265042_5500265043_5500265044_6_0;1.79;0.00;1.40;vehDist97;13.330801;52.527263
93.00;10.42;flow_0.0;-29400740#5_0;41.33;0.00;2.04;vehDist74;13.330996;52.529446
93.00;286.64;flow_0.1;:cluster_26726587_26984409_29927301_5500265034_5500265035_5500265036_5500265037_5500265038_5500265039_5500265040_5500265041_5500265042_5500265043_5500265044_6_0;3.69;0.00;1.90;vehDist97;13.330774;52.527268
94.00;10.42;flow_0.0;-29400740#5_0;43.34;0.00;2.00;vehDist74;13.331001;52.529464
94.00;305.32;flow_0.1;:cluster_26726587_26984409_29927301_5500265034_5500265035_5500265036_5500265037_5500265038_5500265039_5500265040_5500265041_5500265042_5500265043_5500265044_6_0;6.11;0.00;2.42;vehDist97;13.330744;52.527280
95.00;10.42;flow_0.0;-29400740#5_0;45.42;0.00;2.08;vehDist74;13.331005;52.529482
95.00;332.00;flow_0.1;:cluster_26726587_26984409_29927301_5500265034_5500265035_5500265036_5500265037_5500265038_5500265039_5500265040_5500265041_5500265042_5500265043_5500265044_6_0;8.84;0.00;2.72;vehDist97;13.330721;52.527299
96.00;10.42;flow_0.0;-29400740#5_0;47.49;0.00;2.06;vehDist74;13.331010;52.529501
96.00;359.05;flow_0.1;:cluster_26726587_26984409_29927301_5500265034_5500265035_5500265036_5500265037_5500265038_5500265039_5500265040_5500265041_5500265042_5500265043_5500265044_6_0;11.97;0.00;3.13;vehDist97;13.330714;52.527326
96.00;280.47;flow_0.2;482223508#0_0;1.70;0.00;0.00;vehDist34;13.331276;52.527215
97.00;10.42;flow_0.0;-29400740#5_0;49.69;0.00;2.20;vehDist74;13.331015;52.529520
97.00;9.56;flow_0.1;4703556#1_0;2.83;0.00;3.44;vehDist97;13.330704;52.527358
97.00;280.47;flow_0.2;482223508#0_0;2.06;0.00;0.36;vehDist34;13.331271;52.527215
98.00;10.42;flow_0.0;-29400740#5_0;51.93;0.00;2.24;vehDist74;13.331021;52.529540
98.00;9.56;flow_0.1;4703556#1_0;6.62;0.00;3.78;vehDist97;13.330712;52.527392
98.00;280.47;flow_0.2;482223508#0_0;2.89;0.00;0.83;vehDist34;13.331259;52.527216
99.00;10.42;flow_0.0;-29400740#5_0;54.08;0.00;2.15;vehDist74;13.331026;52.529559
99.00;9.56;flow_0.1;4703556#1_0;10.72;0.00;4.10;vehDist97;13.330720;52.527428
99.00;280.47;flow_0.2;482223508#0_0;4.08;0.00;1.18;vehDist34;13.331242;52.527218
100.00;10.42;flow_0.0;-29400740#5_0;56.05;0.00;1.98;vehDist74;13.331030;52.529577
100.00;9.56;flow_0.1;4703556#1_0;15.19;0.00;4.47;vehDist97;13.330730;52.527468
100.00;280.47;flow_0.2;482223508#0_0;5.61;0.00;1.53;vehDist34;13.331219;52.527220
101.00;10.42;flow_0.0;-29400740#5_0;58.34;0.00;2.28;vehDist74;13.331036;52.529597
101.00;9.56;flow_0.1;4703556#1_0;19.74;0.00;4.54;vehDist97;13.330739;52.527508
101.00;280.47;flow_0.2;482223508#0_0;7.55;0.00;1.94;vehDist34;13.331191;52.527223
102.00;10.42;flow_0.0;-29400740#5_0;60.48;0.00;2.14;vehDist74;13.331041;52.529616
102.00;9.56;flow_0.1;4703556#1_0;24.16;0.00;4.42;vehDist97;13.330749;52.527548
102.00;280.47;flow_0.2;482223508#0_0;9.97;0.00;2.42;vehDist34;13.331156;52.527227
103.00;10.42;flow_0.0;-29400740#5_0;62.62;0.00;2.14;vehDist74;13.331046;52.529635
103.00;9.56;flow_0.1;4703556#1_0;28.73;0.00;4.57;vehDist97;13.330758;52.527588
103.00;280.47;flow_0.2;482223508#0_0;12.84;0.00;2.87;vehDist34;13.331114;52.527231
104.00;10.42;flow_0.0;-29400740#5_0;64.90;0.00;2.28;vehDist74;13.331051;52.529655
104.00;9.56;flow_0.1;4703556#1_0;33.32;0.00;4.60;vehDist97;13.330768;52.527629
104.00;280.47;flow_0.2;482223508#0_0;16.27;0.00;3.43;vehDist34;13.331064;52.527236
105.00;10.42;flow_0.0;-29400740#5_0;67.08;0.00;2.18;vehDist74;13.331056;52.529674
105.00;9.56;flow_0.1;4703556#1_0;37.84;0.00;4.52;vehDist97;13.330778;52.527669
105.00;280.47;flow_0.2;482223508#0_0;20.22;0.00;3.94;vehDist34;13.331007;52.527241
106.00;10.42;flow_0.0;-29400740#5_0;69.02;0.00;1.94;vehDist74;13.331060;52.529692
106.00;9.56;flow_0.1;4703556#1_0;42.44;0.00;4.60;vehDist97;13.330787;52.527710
106.00;280.47;flow_0.2;482223508#0_0;24.65;0.00;4.44;vehDist34;13.330942;52.527248
107.00;10.42;flow_0.0;-29400740#5_0;70.97;0.00;1.94;vehDist74;13.331065;52.529709
107.00;9.56;flow_0.1;4703556#1_0;47.05;0.00;4.61;vehDist97;13.330797;52.527751
107.00;280.47;flow_0.2;482223508#0_0;29.48;0.00;4.82;vehDist34;13.330872;52.527255
108.00;10.42;flow_0.0;-29400740#5_0;73.22;0.00;2.25;vehDist74;13.331070;52.529729
108.00;9.56;flow_0.1;4703556#1_0;51.56;0.00;4.51;vehDist97;13.330807;52.527791
