timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;300.844334;flow_0.0;172425925_0;1.700000;0.000000;0.000000;vehDist;13.429740;52.498311
1.00;300.844334;flow_0.0;172425925_0;2.304908;0.000000;0.604908;vehDist;13.429732;52.498313
2.00;300.844334;flow_0.0;172425925_0;3.551603;0.000000;1.246695;vehDist;13.429716;52.498319
3.00;300.844334;flow_0.0;172425925_0;5.528034;0.000000;1.976431;vehDist;13.429691;52.498328
4.00;300.844334;flow_0.0;172425925_0;8.095246;0.000000;2.567212;vehDist;13.429658;52.498339
5.00;300.844334;flow_0.0;172425925_0;11.461930;0.000000;3.366684;vehDist;13.429615;52.498354
6.00;300.844334;flow_0.0;172425925_0;15.654063;0.000000;4.192134;vehDist;13.429561;52.498373
7.00;300.844334;flow_0.0;172425925_0;20.389913;0.000000;4.735849;vehDist;13.429501;52.498394
8.00;300.844334;flow_0.0;172425925_0;25.922103;0.000000;5.532191;vehDist;13.429430;52.498418
9.00;300.844334;flow_0.0;172425925_0;32.325578;0.000000;6.403474;vehDist;13.429348;52.498447
10.00;300.844334;flow_0.0;172425925_0;39.259519;0.000000;6.933942;vehDist;13.429259;52.498477
11.00;300.844334;flow_0.0;172425925_0;46.953575;0.000000;7.694056;vehDist;13.429160;52.498512
12.00;300.844334;flow_0.0;172425925_0;54.530853;0.000000;7.577278;vehDist;13.429063;52.498545
13.00;300.841768;flow_0.0;172425925_0;62.046113;0.000000;7.515260;vehDist;13.428967;52.498579
14.00;300.841768;flow_0.0;172425925_0;69.556128;0.000000;7.510015;vehDist;13.428871;52.498612
15.00;300.841768;flow_0.0;172425925_0;76.823059;0.000000;7.266931;vehDist;13.428778;52.498644
16.00;300.841768;flow_0.0;172425925_0;84.558307;0.000000;7.735248;vehDist;13.428679;52.498679
17.00;300.841768;flow_0.0;172425925_0;91.911035;0.000000;7.352727;vehDist;13.428585;52.498711
18.00;299.833875;flow_0.0;241020237#0_0;5.982956;0.000000;7.411921;vehDist;13.428488;52.498744
19.00;299.833875;flow_0.0;241020237#0_0;13.238203;0.000000;7.255247;vehDist;13.428394;52.498775
20.00;299.833875;flow_0.0;241020237#0_0;20.552282;0.000000;7.314079;vehDist;13.428300;52.498806
21.00;299.833875;flow_0.0;241020237#0_0;27.847531;0.000000;7.295249;vehDist;13.428205;52.498838
22.00;299.833875;flow_0.0;241020237#0_0;35.569410;0.000000;7.721879;vehDist;13.428105;52.498871
