timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;300.84;flow_0.0;172425925_0;1.70;0.00;0.00;vehDist74;13.429740;52.498311
1.00;300.84;flow_0.0;172425925_0;2.45;0.00;0.75;vehDist74;13.429730;52.498314
2.00;300.84;flow_0.0;172425925_0;4.01;0.00;1.56;vehDist74;13.429710;52.498321
3.00;300.84;flow_0.0;172425925_0;6.48;0.00;2.47;vehDist74;13.429679;52.498332
4.00;300.84;flow_0.0;172425925_0;9.68;0.00;3.20;vehDist74;13.429638;52.498346
5.00;300.84;flow_0.0;172425925_0;13.88;0.00;4.20;vehDist74;13.429584;52.498365
6.00;300.84;flow_0.0;172425925_0;19.11;0.00;5.23;vehDist74;13.429517;52.498388
7.00;300.84;flow_0.0;172425925_0;24.79;0.00;5.68;vehDist74;13.429444;52.498413
8.00;300.84;flow_0.0;172425925_0;30.78;0.00;5.99;vehDist74;13.429367;52.498440
9.00;300.84;flow_0.0;172425925_0;36.87;0.00;6.09;vehDist74;13.429290;52.498467
10.00;300.84;flow_0.0;172425925_0;42.53;0.00;5.66;vehDist74;13.429217;52.498492
11.00;300.84;flow_0.0;172425925_0;48.74;0.00;6.21;vehDist74;13.429137;52.498520
12.00;300.84;flow_0.0;172425925_0;54.80;0.00;6.06;vehDist74;13.429060;52.498547
13.00;300.84;flow_0.0;172425925_0;60.79;0.00;5.99;vehDist74;13.428983;52.498573
14.00;300.84;flow_0.0;172425925_0;66.77;0.00;5.98;vehDist74;13.428907;52.498600
15.00;300.84;flow_0.0;172425925_0;72.44;0.00;5.68;vehDist74;13.428834;52.498625
16.00;300.84;flow_0.0;172425925_0;78.70;0.00;6.26;vehDist74;13.428754;52.498653
17.00;300.84;flow_0.0;172425925_0;84.48;0.00;5.78;vehDist74;13.428680;52.498678
18.00;300.84;flow_0.0;172425925_0;90.34;0.00;5.86;vehDist74;13.428605;52.498704
19.00;299.83;flow_0.0;241020237#0_0;3.01;0.00;6.00;vehDist74;13.428526;52.498731
20.00;299.83;flow_0.0;241020237#0_0;8.67;0.00;5.66;vehDist74;13.428453;52.498755
21.00;299.83;flow_0.0;241020237#0_0;14.40;0.00;5.73;vehDist74;13.428379;52.498780
22.00;299.83;flow_0.0;241020237#0_0;20.11;0.00;5.71;vehDist74;13.428305;52.498804
23.00;299.83;flow_0.0;241020237#0_0;26.35;0.00;6.24;vehDist74;13.428225;52.498831
24.00;299.83;flow_0.0;241020237#0_0;32.36;0.00;6.00;vehDist74;13.428147;52.498857
25.00;299.83;flow_0.0;241020237#0_0;38.53;0.00;6.18;vehDist74;13.428067;52.498884
26.00;299.82;flow_0.0;241020237#0_0;44.75;0.00;6.21;vehDist74;13.427987;52.498910
27.00;299.81;flow_0.0;241020237#0_0;50.93;0.00;6.18;vehDist74;13.427907;52.498937
28.00;299.81;flow_0.0;:1528011425_3_0;0.02;0.00;5.73;vehDist74;13.427833;52.498962
29.00;300.03;flow_0.0;241020237#1_0;1.23;0.00;6.23;vehDist74;13.427752;52.498988
30.00;300.24;flow_0.0;241020237#2_0;0.28;0.00;5.79;vehDist74;13.427679;52.499013
31.00;300.03;flow_0.0;:27555216_0_0;3.64;0.00;5.86;vehDist74;13.427602;52.499039
32.00;299.07;flow_0.0;241020237#3_0;4.52;0.00;6.18;vehDist74;13.427521;52.499066
33.00;299.07;flow_0.0;241020237#3_0;7.99;0.00;3.47;vehDist74;13.427475;52.499081
34.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.47;vehDist74;13.427469;52.499083
35.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
36.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
37.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
38.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
39.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
40.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
41.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
42.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
43.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
44.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
45.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
46.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
47.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
48.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
49.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
50.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
51.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
52.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
53.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
54.00;298.74;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;0.16;0.00;1.16;vehDist74;13.427454;52.499087
55.00;295.68;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;2.16;0.00;2.00;vehDist74;13.427427;52.499095
56.00;295.68;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;5.36;0.00;3.20;vehDist74;13.427384;52.499107
57.00;295.68;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;9.81;0.00;4.45;vehDist74;13.427324;52.499123
58.00;295.68;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;14.92;0.00;5.11;vehDist74;13.427256;52.499142
59.00;295.68;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;20.91;0.00;5.99;vehDist74;13.427176;52.499165
60.00;293.55;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;26.73;0.00;5.82;vehDist74;13.427097;52.499185
61.00;293.55;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;32.52;0.00;5.80;vehDist74;13.427018;52.499205
62.00;293.55;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;38.29;0.00;5.77;vehDist74;13.426939;52.499224
63.00;293.55;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;44.32;0.00;6.03;vehDist74;13.426857;52.499245
64.00;293.55;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;50.19;0.00;5.87;vehDist74;13.426777;52.499265
65.00;292.85;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;56.25;0.00;6.06;vehDist74;13.426694;52.499285
66.00;292.85;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;62.34;0.00;6.09;vehDist74;13.426611;52.499306
67.00;292.85;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;68.25;0.00;5.91;vehDist74;13.426530;52.499325
68.00;292.85;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;73.85;0.00;5.60;vehDist74;13.426453;52.499344
69.00;292.85;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;79.06;0.00;5.21;vehDist74;13.426382;52.499361
70.00;292.79;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;83.79;0.00;4.73;vehDist74;13.426317;52.499377
71.00;292.79;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;88.25;0.00;4.47;vehDist74;13.426256;52.499391
72.00;292.79;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;92.24;0.00;3.99;vehDist74;13.426201;52.499404
