timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;300.84;flow_0.0;172425925_0;1.70;0.00;0.00;vehDist74;13.429740;52.498311
1.00;300.84;flow_0.0;172425925_0;2.24;0.00;0.54;vehDist74;13.429733;52.498313
2.00;300.84;flow_0.0;172425925_0;3.36;0.00;1.12;vehDist74;13.429719;52.498318
3.00;300.84;flow_0.0;172425925_0;5.14;0.00;1.78;vehDist74;13.429696;52.498326
4.00;300.84;flow_0.0;172425925_0;7.45;0.00;2.31;vehDist74;13.429666;52.498336
5.00;300.84;flow_0.0;172425925_0;10.47;0.00;3.03;vehDist74;13.429628;52.498350
6.00;300.84;flow_0.0;172425925_0;14.24;0.00;3.77;vehDist74;13.429579;52.498366
7.00;300.84;flow_0.0;172425925_0;18.49;0.00;4.26;vehDist74;13.429525;52.498385
8.00;300.84;flow_0.0;172425925_0;23.47;0.00;4.97;vehDist74;13.429461;52.498407
9.00;300.84;flow_0.0;172425925_0;29.22;0.00;5.75;vehDist74;13.429387;52.498433
10.00;300.84;flow_0.0;172425925_0;35.45;0.00;6.23;vehDist74;13.429308;52.498461
11.00;300.84;flow_0.0;172425925_0;42.55;0.00;7.10;vehDist74;13.429217;52.498492
12.00;300.84;flow_0.0;172425925_0;50.42;0.00;7.87;vehDist74;13.429116;52.498527
13.00;300.84;flow_0.0;172425925_0;58.99;0.00;8.57;vehDist74;13.429006;52.498565
14.00;300.84;flow_0.0;172425925_0;68.27;0.00;9.28;vehDist74;13.428887;52.498606
15.00;300.84;flow_0.0;172425925_0;77.82;0.00;9.54;vehDist74;13.428765;52.498649
16.00;300.84;flow_0.0;172425925_0;87.78;0.00;9.96;vehDist74;13.428637;52.498693
17.00;299.83;flow_0.0;241020237#0_0;4.36;0.00;9.91;vehDist74;13.428509;52.498737
18.00;299.83;flow_0.0;241020237#0_0;14.22;0.00;9.86;vehDist74;13.428381;52.498779
19.00;299.83;flow_0.0;241020237#0_0;24.03;0.00;9.81;vehDist74;13.428255;52.498821
20.00;299.83;flow_0.0;241020237#0_0;33.80;0.00;9.76;vehDist74;13.428128;52.498863
21.00;299.83;flow_0.0;241020237#0_0;43.75;0.00;9.95;vehDist74;13.428000;52.498906
22.00;299.81;flow_0.0;241020237#0_0;53.66;0.00;9.90;vehDist74;13.427871;52.498949
23.00;300.06;flow_0.0;241020237#1_0;1.90;0.00;9.91;vehDist74;13.427744;52.498991
24.00;300.03;flow_0.0;:27555216_0_0;2.43;0.00;9.78;vehDist74;13.427618;52.499034
25.00;299.07;flow_0.0;241020237#3_0;3.91;0.00;6.78;vehDist74;13.427529;52.499063
26.00;299.07;flow_0.0;241020237#3_0;7.69;0.00;3.78;vehDist74;13.427479;52.499079
27.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.78;vehDist74;13.427469;52.499083
28.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
29.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
30.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
31.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
32.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
33.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
34.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
35.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
36.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
37.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
38.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
39.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
40.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
41.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
42.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
43.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
44.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
45.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
46.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
47.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
48.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
49.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
50.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
51.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
52.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
53.00;299.07;flow_0.0;241020237#3_0;8.47;0.00;0.00;vehDist74;13.427469;52.499083
54.00;299.07;flow_0.0;241020237#3_0;9.38;0.00;0.91;vehDist74;13.427457;52.499086
55.00;295.68;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;1.65;0.00;1.74;vehDist74;13.427434;52.499093
56.00;295.68;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;3.95;0.00;2.31;vehDist74;13.427403;52.499101
57.00;295.68;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;6.80;0.00;2.85;vehDist74;13.427365;52.499112
58.00;295.68;flow_0.0;:cluster_3900230252_3900230256_6302602248_6302602249_cluster_29276961_318545593_cluster_3900230863_cluster_3900230857_6302602250_cluster_29276959_cluster_29276750_3900230865_cluster_3900230870_3900230872_3900230874_536286818_536286819_23_0;9.61;0.00;2.80;vehDist74;13.427327;52.499123
