timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;300.84;flow_0.0;172425925_0;1.70;0.00;0.00;vehDist74;13.429740;52.498311
1.00;300.84;flow_0.0;172425925_0;2.62;0.00;0.92;vehDist74;13.429728;52.498315
2.00;300.84;flow_0.0;172425925_0;4.46;0.00;1.84;vehDist74;13.429705;52.498323
3.00;300.84;flow_0.0;172425925_0;7.22;0.00;2.76;vehDist74;13.429669;52.498335
4.00;300.84;flow_0.0;172425925_0;10.90;0.00;3.68;vehDist74;13.429622;52.498352
5.00;300.84;flow_0.0;172425925_0;15.50;0.00;4.60;vehDist74;13.429563;52.498372
6.00;300.84;flow_0.0;172425925_0;21.02;0.00;5.52;vehDist74;13.429492;52.498397
7.00;300.84;flow_0.0;172425925_0;27.46;0.00;6.44;vehDist74;13.429410;52.498425
8.00;300.84;flow_0.0;172425925_0;34.07;0.00;6.61;vehDist74;13.429325;52.498454
9.00;300.84;flow_0.0;172425925_0;40.68;0.00;6.61;vehDist74;13.429241;52.498484
10.00;300.84;flow_0.0;172425925_0;47.29;0.00;6.61;vehDist74;13.429156;52.498513
11.00;300.84;flow_0.0;172425925_0;53.90;0.00;6.61;vehDist74;13.429071;52.498542
12.00;300.84;flow_0.0;172425925_0;60.51;0.00;6.61;vehDist74;13.428987;52.498572
13.00;300.84;flow_0.0;172425925_0;67.12;0.00;6.61;vehDist74;13.428902;52.498601
14.00;300.84;flow_0.0;172425925_0;73.73;0.00;6.61;vehDist74;13.428817;52.498631
15.00;300.84;flow_0.0;172425925_0;80.34;0.00;6.61;vehDist74;13.428733;52.498660
16.00;300.84;flow_0.0;172425925_0;86.95;0.00;6.61;vehDist74;13.428648;52.498689
17.00;300.68;flow_0.0;241020237#0_0;0.22;0.00;6.61;vehDist74;13.428563;52.498719
18.00;299.83;flow_0.0;241020237#0_0;6.83;0.00;6.61;vehDist74;13.428477;52.498747
19.00;299.83;flow_0.0;241020237#0_0;13.44;0.00;6.61;vehDist74;13.428392;52.498776
20.00;299.83;flow_0.0;241020237#0_0;20.05;0.00;6.61;vehDist74;13.428306;52.498804
21.00;299.83;flow_0.0;241020237#0_0;26.66;0.00;6.61;vehDist74;13.428221;52.498833
22.00;299.83;flow_0.0;241020237#0_0;33.27;0.00;6.61;vehDist74;13.428135;52.498861
23.00;299.83;flow_0.0;241020237#0_0;39.88;0.00;6.61;vehDist74;13.428050;52.498889
24.00;299.81;flow_0.0;241020237#0_0;46.49;0.00;6.61;vehDist74;13.427964;52.498918
25.00;299.81;flow_0.0;241020237#0_0;53.10;0.00;6.61;vehDist74;13.427879;52.498946
26.00;299.94;flow_0.0;:1528011425_3_0;3.07;0.00;6.61;vehDist74;13.427793;52.498975
