timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;300.84;flow_0.0;172425925_0;1.70;0.00;0.00;vehDist74;13.429740;52.498311
1.00;300.84;flow_0.0;172425925_0;2.09;0.00;0.39;vehDist74;13.429735;52.498312
2.00;300.84;flow_0.0;172425925_0;2.90;0.00;0.81;vehDist74;13.429724;52.498316
3.00;300.84;flow_0.0;172425925_0;4.19;0.00;1.29;vehDist74;13.429708;52.498322
4.00;300.84;flow_0.0;172425925_0;5.86;0.00;1.67;vehDist74;13.429687;52.498329
5.00;300.84;flow_0.0;172425925_0;8.05;0.00;2.19;vehDist74;13.429659;52.498339
6.00;300.84;flow_0.0;172425925_0;10.77;0.00;2.73;vehDist74;13.429624;52.498351
7.00;300.84;flow_0.0;172425925_0;13.85;0.00;3.08;vehDist74;13.429584;52.498365
8.00;300.84;flow_0.0;172425925_0;17.45;0.00;3.60;vehDist74;13.429538;52.498381
9.00;300.84;flow_0.0;172425925_0;21.62;0.00;4.16;vehDist74;13.429485;52.498399
10.00;300.84;flow_0.0;172425925_0;26.13;0.00;4.51;vehDist74;13.429427;52.498419
11.00;300.84;flow_0.0;172425925_0;31.26;0.00;5.14;vehDist74;13.429361;52.498442
12.00;300.84;flow_0.0;172425925_0;36.96;0.00;5.69;vehDist74;13.429288;52.498467
13.00;300.84;flow_0.0;172425925_0;43.16;0.00;6.21;vehDist74;13.429209;52.498495
14.00;300.84;flow_0.0;172425925_0;49.68;0.00;6.51;vehDist74;13.429125;52.498524
15.00;300.84;flow_0.0;172425925_0;56.03;0.00;6.36;vehDist74;13.429044;52.498552
16.00;300.84;flow_0.0;172425925_0;62.69;0.00;6.66;vehDist74;13.428959;52.498582
17.00;300.84;flow_0.0;172425925_0;69.10;0.00;6.41;vehDist74;13.428877;52.498610
18.00;300.84;flow_0.0;172425925_0;75.55;0.00;6.45;vehDist74;13.428794;52.498639
19.00;300.84;flow_0.0;172425925_0;82.08;0.00;6.53;vehDist74;13.428710;52.498668
20.00;300.84;flow_0.0;172425925_0;88.45;0.00;6.37;vehDist74;13.428629;52.498696
21.00;299.83;flow_0.0;241020237#0_0;1.68;0.00;6.57;vehDist74;13.428544;52.498725
22.00;299.83;flow_0.0;241020237#0_0;8.03;0.00;6.35;vehDist74;13.428461;52.498752
23.00;299.83;flow_0.0;241020237#0_0;14.42;0.00;6.39;vehDist74;13.428379;52.498780
24.00;299.83;flow_0.0;241020237#0_0;20.79;0.00;6.37;vehDist74;13.428296;52.498807
