timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;196.54;flow_0.0;-4612431#2_0;1.70;0.00;0.00;vehDist74;13.417124;52.512435
1.00;196.54;flow_0.0;-4612431#2_0;2.36;0.00;0.66;vehDist74;13.417122;52.512429
2.00;196.54;flow_0.0;-4612431#2_0;4.01;0.00;1.65;vehDist74;13.417115;52.512415
3.00;196.54;flow_0.0;-4612431#2_0;6.34;0.00;2.33;vehDist74;13.417106;52.512395
4.00;196.54;flow_0.0;-4612431#2_0;9.61;0.00;3.27;vehDist74;13.417093;52.512367
5.00;198.39;flow_0.0;-4612431#2_0;13.80;0.00;4.19;vehDist74;13.417076;52.512331
6.00;198.39;flow_0.0;-4612431#2_0;18.89;0.00;5.09;vehDist74;13.417053;52.512287
7.00;198.39;flow_0.0;-4612431#2_0;24.17;0.00;5.28;vehDist74;13.417031;52.512242
8.00;198.39;flow_0.0;-4612431#2_0;29.52;0.00;5.34;vehDist74;13.417007;52.512196
9.00;198.39;flow_0.0;-4612431#2_0;34.70;0.00;5.18;vehDist74;13.416985;52.512151
10.00;198.39;flow_0.0;-4612431#2_0;40.27;0.00;5.57;vehDist74;13.416961;52.512103
11.00;198.39;flow_0.0;-4612431#2_0;45.62;0.00;5.34;vehDist74;13.416938;52.512057
12.00;198.39;flow_0.0;-4612431#2_0;51.28;0.00;5.66;vehDist74;13.416913;52.512009
13.00;198.39;flow_0.0;-4612431#2_0;56.51;0.00;5.22;vehDist74;13.416890;52.511964
14.00;198.39;flow_0.0;-4612431#2_0;61.72;0.00;5.21;vehDist74;13.416868;52.511919
15.00;198.47;flow_0.0;:28794540_1_0;2.35;0.00;5.45;vehDist74;13.416844;52.511872
16.00;198.47;flow_0.0;:28794540_1_0;7.81;0.00;5.46;vehDist74;13.416820;52.511826
17.00;198.46;flow_0.0;-4612431#1_0;3.67;0.00;5.25;vehDist74;13.416797;52.511780
18.00;198.46;flow_0.0;-4612431#1_0;8.94;0.00;5.27;vehDist74;13.416774;52.511735
19.00;198.46;flow_0.0;-4612431#1_0;14.16;0.00;5.22;vehDist74;13.416752;52.511690
20.00;198.46;flow_0.0;-4612431#1_0;19.64;0.00;5.48;vehDist74;13.416728;52.511643
21.00;198.46;flow_0.0;-4612431#1_0;24.92;0.00;5.28;vehDist74;13.416705;52.511598
22.00;198.46;flow_0.0;-4612431#1_0;30.27;0.00;5.35;vehDist74;13.416681;52.511552
