timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;196.54;flow_0.0;-4612431#2_0;1.70;0.00;0.00;vehDist74;13.417124;52.512435
1.00;196.54;flow_0.0;-4612431#2_0;2.42;0.00;0.72;vehDist74;13.417121;52.512429
2.00;196.54;flow_0.0;-4612431#2_0;4.22;0.00;1.80;vehDist74;13.417114;52.512413
3.00;196.54;flow_0.0;-4612431#2_0;6.76;0.00;2.54;vehDist74;13.417104;52.512391
4.00;196.61;flow_0.0;-4612431#2_0;10.32;0.00;3.56;vehDist74;13.417091;52.512361
5.00;198.39;flow_0.0;-4612431#2_0;14.88;0.00;4.57;vehDist74;13.417071;52.512321
6.00;198.39;flow_0.0;-4612431#2_0;20.43;0.00;5.54;vehDist74;13.417047;52.512274
7.00;198.39;flow_0.0;-4612431#2_0;26.68;0.00;6.25;vehDist74;13.417020;52.512220
8.00;198.39;flow_0.0;-4612431#2_0;33.71;0.00;7.03;vehDist74;13.416989;52.512160
9.00;198.39;flow_0.0;-4612431#2_0;41.35;0.00;7.64;vehDist74;13.416956;52.512094
10.00;198.39;flow_0.0;-4612431#2_0;49.50;0.00;8.15;vehDist74;13.416921;52.512024
11.00;198.39;flow_0.0;-4612431#2_0;57.39;0.00;7.90;vehDist74;13.416886;52.511956
12.00;198.43;flow_0.0;:28794540_1_0;0.82;0.00;8.25;vehDist74;13.416851;52.511886
13.00;198.47;flow_0.0;:28794540_1_0;8.85;0.00;8.02;vehDist74;13.416816;52.511817
14.00;198.46;flow_0.0;-4612431#1_0;7.25;0.00;7.80;vehDist74;13.416782;52.511750
15.00;198.46;flow_0.0;-4612431#1_0;15.07;0.00;7.82;vehDist74;13.416748;52.511682
16.00;198.46;flow_0.0;-4612431#1_0;22.83;0.00;7.76;vehDist74;13.416714;52.511616
17.00;198.46;flow_0.0;-4612431#1_0;30.88;0.00;8.05;vehDist74;13.416679;52.511547
18.00;198.46;flow_0.0;-4612431#1_0;38.71;0.00;7.83;vehDist74;13.416644;52.511479
19.00;198.46;flow_0.0;-4612431#1_0;46.62;0.00;7.91;vehDist74;13.416610;52.511412
20.00;198.46;flow_0.0;-4612431#1_0;54.53;0.00;7.91;vehDist74;13.416576;52.511344
