timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;196.54;flow_0.0;-4612431#2_0;1.70;0.00;0.00;vehDist74;13.417124;52.512435
1.00;196.54;flow_0.0;-4612431#2_0;2.54;0.00;0.84;vehDist74;13.417121;52.512428
2.00;196.54;flow_0.0;-4612431#2_0;4.64;0.00;2.10;vehDist74;13.417113;52.512410
3.00;196.54;flow_0.0;-4612431#2_0;7.59;0.00;2.96;vehDist74;13.417101;52.512384
4.00;198.25;flow_0.0;-4612431#2_0;11.74;0.00;4.15;vehDist74;13.417084;52.512348
5.00;198.39;flow_0.0;-4612431#2_0;17.07;0.00;5.32;vehDist74;13.417061;52.512303
6.00;198.39;flow_0.0;-4612431#2_0;22.55;0.00;5.48;vehDist74;13.417038;52.512256
7.00;198.39;flow_0.0;-4612431#2_0;27.72;0.00;5.17;vehDist74;13.417015;52.512211
8.00;198.39;flow_0.0;-4612431#2_0;32.97;0.00;5.25;vehDist74;13.416992;52.512166
9.00;198.39;flow_0.0;-4612431#2_0;38.02;0.00;5.05;vehDist74;13.416970;52.512123
10.00;198.39;flow_0.0;-4612431#2_0;43.57;0.00;5.54;vehDist74;13.416946;52.512075
11.00;198.39;flow_0.0;-4612431#2_0;48.82;0.00;5.25;vehDist74;13.416924;52.512030
12.00;198.39;flow_0.0;-4612431#2_0;54.47;0.00;5.66;vehDist74;13.416899;52.511981
13.00;198.39;flow_0.0;-4612431#2_0;59.65;0.00;5.18;vehDist74;13.416877;52.511937
14.00;198.39;flow_0.0;-4612431#2_0;64.74;0.00;5.09;vehDist74;13.416855;52.511893
15.00;198.47;flow_0.0;:28794540_1_0;5.31;0.00;5.39;vehDist74;13.416831;52.511847
16.00;198.46;flow_0.0;-4612431#1_0;1.31;0.00;5.40;vehDist74;13.416808;52.511801
17.00;198.46;flow_0.0;-4612431#1_0;6.47;0.00;5.16;vehDist74;13.416785;52.511756
18.00;198.46;flow_0.0;-4612431#1_0;11.56;0.00;5.09;vehDist74;13.416763;52.511713
19.00;198.46;flow_0.0;-4612431#1_0;16.99;0.00;5.43;vehDist74;13.416739;52.511666
20.00;198.46;flow_0.0;-4612431#1_0;22.17;0.00;5.18;vehDist74;13.416717;52.511622
21.00;198.46;flow_0.0;-4612431#1_0;27.43;0.00;5.26;vehDist74;13.416694;52.511576
22.00;198.46;flow_0.0;-4612431#1_0;32.69;0.00;5.27;vehDist74;13.416671;52.511531
23.00;198.46;flow_0.0;-4612431#1_0;38.26;0.00;5.57;vehDist74;13.416646;52.511483
24.00;198.46;flow_0.0;-4612431#1_0;43.80;0.00;5.54;vehDist74;13.416622;52.511436
25.00;198.46;flow_0.0;-4612431#1_0;49.28;0.00;5.48;vehDist74;13.416598;52.511389
26.00;198.46;flow_0.0;-4612431#1_0;54.65;0.00;5.37;vehDist74;13.416575;52.511343
27.00;198.46;flow_0.0;-4612431#1_0;60.22;0.00;5.57;vehDist74;13.416551;52.511295
28.00;199.03;flow_0.0;:cluster_262486232_26960762_3352479268_3352479273_4870571784_4870571790_4912133691_4912133692_4918035206_4918035207_5053239046_5053239538_5053239838_5053240253_6404935361_6900050065_6900306512_8269617289_8269617290_972319914_20_0;3.82;0.00;5.64;vehDist74;13.416526;52.511246
29.00;199.03;flow_0.0;:cluster_262486232_26960762_3352479268_3352479273_4870571784_4870571790_4912133691_4912133692_4918035206_4918035207_5053239046_5053239538_5053239838_5053240253_6404935361_6900050065_6900306512_8269617289_8269617290_972319914_20_0;9.42;0.00;5.60;vehDist74;13.416500;52.511198
30.00;199.91;flow_0.0;:cluster_262486232_26960762_3352479268_3352479273_4870571784_4870571790_4912133691_4912133692_4918035206_4918035207_5053239046_5053239538_5053239838_5053240253_6404935361_6900050065_6900306512_8269617289_8269617290_972319914_20_0;14.54;0.00;5.12;vehDist74;13.416476;52.511155
31.00;199.91;flow_0.0;:cluster_262486232_26960762_3352479268_3352479273_4870571784_4870571790_4912133691_4912133692_4918035206_4918035207_5053239046_5053239538_5053239838_5053240253_6404935361_6900050065_6900306512_8269617289_8269617290_972319914_20_0;19.74;0.00;5.20;vehDist74;13.416452;52.511110
32.00;201.04;flow_0.0;:cluster_262486232_26960762_3352479268_3352479273_4870571784_4870571790_4912133691_4912133692_4918035206_4918035207_5053239046_5053239538_5053239838_5053240253_6404935361_6900050065_6900306512_8269617289_8269617290_972319914_20_0;25.00;0.00;5.26;vehDist74;13.416426;52.511066
33.00;201.04;flow_0.0;:cluster_262486232_26960762_3352479268_3352479273_4870571784_4870571790_4912133691_4912133692_4918035206_4918035207_5053239046_5053239538_5053239838_5053240253_6404935361_6900050065_6900306512_8269617289_8269617290_972319914_20_0;30.27;0.00;5.27;vehDist74;13.416400;52.511021
34.00;202.56;flow_0.0;:cluster_262486232_26960762_3352479268_3352479273_4870571784_4870571790_4912133691_4912133692_4918035206_4918035207_5053239046_5053239538_5053239838_5053240253_6404935361_6900050065_6900306512_8269617289_8269617290_972319914_20_0;35.82;0.00;5.55;vehDist74;13.416372;52.510974
35.00;203.39;flow_0.0;:cluster_262486232_26960762_3352479268_3352479273_4870571784_4870571790_4912133691_4912133692_4918035206_4918035207_5053239046_5053239538_5053239838_5053240253_6404935361_6900050065_6900306512_8269617289_8269617290_972319914_20_0;41.26;0.00;5.44;vehDist74;13.416342;52.510929
36.00;206.00;flow_0.0;-328426213#1_0;2.27;0.00;5.58;vehDist74;13.416309;52.510883
37.00;206.00;flow_0.0;-328426213#1_0;7.53;0.00;5.25;vehDist74;13.416277;52.510840
38.00;205.84;flow_0.0;-328426213#1_0;13.21;0.00;5.68;vehDist74;13.416242;52.510794
39.00;205.84;flow_0.0;-328426213#1_0;18.63;0.00;5.42;vehDist74;13.416209;52.510749
40.00;205.52;flow_0.0;-328426213#1_0;23.67;0.00;5.04;vehDist74;13.416178;52.510708
41.00;205.52;flow_0.0;-328426213#1_0;28.86;0.00;5.19;vehDist74;13.416147;52.510666
42.00;205.52;flow_0.0;-328426213#1_0;33.91;0.00;5.05;vehDist74;13.416116;52.510624
43.00;205.80;flow_0.0;:287923220_0_0;3.99;0.00;5.19;vehDist74;13.416084;52.510582
44.00;206.18;flow_0.0;-328426213#0_0;4.02;0.00;5.05;vehDist74;13.416053;52.510541
45.00;206.18;flow_0.0;-328426213#0_0;9.31;0.00;5.29;vehDist74;13.416020;52.510498
46.00;206.18;flow_0.0;-328426213#0_0;14.78;0.00;5.46;vehDist74;13.415986;52.510453
47.00;206.39;flow_0.0;:3352479263_0_0;0.46;0.00;5.10;vehDist74;13.415955;52.510411
48.00;206.92;flow_0.0;:3352479263_0_0;5.89;0.00;5.43;vehDist74;13.415920;52.510368
49.00;207.55;flow_0.0;-195418554#4_0;3.39;0.00;5.38;vehDist74;13.415885;52.510324
50.00;207.55;flow_0.0;-195418554#4_0;8.45;0.00;5.06;vehDist74;13.415852;52.510283
51.00;206.64;flow_0.0;-195418554#4_0;13.51;0.00;5.06;vehDist74;13.415820;52.510242
52.00;206.64;flow_0.0;-195418554#4_0;18.90;0.00;5.39;vehDist74;13.415786;52.510199
53.00;206.64;flow_0.0;-195418554#4_0;24.18;0.00;5.28;vehDist74;13.415752;52.510156
54.00;206.64;flow_0.0;-195418554#4_0;29.42;0.00;5.24;vehDist74;13.415719;52.510113
55.00;206.64;flow_0.0;-195418554#4_0;35.12;0.00;5.70;vehDist74;13.415683;52.510067
56.00;206.64;flow_0.0;-195418554#4_0;40.68;0.00;5.55;vehDist74;13.415648;52.510022
57.00;206.64;flow_0.0;-195418554#4_0;45.95;0.00;5.27;vehDist74;13.415615;52.509979
58.00;206.64;flow_0.0;-195418554#4_0;51.25;0.00;5.30;vehDist74;13.415582;52.509936
59.00;206.64;flow_0.0;-195418554#4_0;56.79;0.00;5.54;vehDist74;13.415547;52.509891
60.00;206.64;flow_0.0;-195418554#4_0;62.36;0.00;5.57;vehDist74;13.415511;52.509846
61.00;206.64;flow_0.0;-195418554#4_0;67.54;0.00;5.19;vehDist74;13.415479;52.509803
62.00;206.64;flow_0.0;-195418554#4_0;73.07;0.00;5.52;vehDist74;13.415444;52.509759
63.00;206.64;flow_0.0;-195418554#4_0;78.64;0.00;5.58;vehDist74;13.415408;52.509713
64.00;206.67;flow_0.0;:7045572536_0_0;3.84;0.00;5.19;vehDist74;13.415376;52.509671
65.00;206.65;flow_0.0;-195418554#3_0;0.16;0.00;5.72;vehDist74;13.415340;52.509625
66.00;206.51;flow_0.0;:292682421_0_0;3.40;0.00;5.24;vehDist74;13.415307;52.509582
67.00;206.48;flow_0.0;-195418554#2_0;3.69;0.00;5.33;vehDist74;13.415273;52.509539
68.00;206.82;flow_0.0;-195418554#2_0;8.85;0.00;5.16;vehDist74;13.415241;52.509497
69.00;206.82;flow_0.0;-195418554#2_0;14.25;0.00;5.40;vehDist74;13.415206;52.509453
70.00;206.72;flow_0.0;-195418554#2_0;19.51;0.00;5.25;vehDist74;13.415173;52.509411
71.00;206.72;flow_0.0;-195418554#2_0;24.99;0.00;5.49;vehDist74;13.415138;52.509366
72.00;206.57;flow_0.0;:8290532480_0_0;4.08;0.00;5.36;vehDist74;13.415104;52.509322
73.00;206.65;flow_0.0;-195418554#1_0;4.56;0.00;5.47;vehDist74;13.415070;52.509278
74.00;206.65;flow_0.0;-195418554#1_0;9.71;0.00;5.16;vehDist74;13.415037;52.509236
75.00;206.65;flow_0.0;-195418554#1_0;15.33;0.00;5.61;vehDist74;13.415002;52.509191
76.00;206.65;flow_0.0;-195418554#1_0;20.92;0.00;5.60;vehDist74;13.414966;52.509145
77.00;206.65;flow_0.0;-195418554#1_0;26.14;0.00;5.22;vehDist74;13.414933;52.509103
78.00;206.65;flow_0.0;-195418554#1_0;31.74;0.00;5.59;vehDist74;13.414898;52.509057
79.00;206.65;flow_0.0;-195418554#1_0;36.99;0.00;5.25;vehDist74;13.414865;52.509015
80.00;206.65;flow_0.0;-195418554#1_0;42.10;0.00;5.11;vehDist74;13.414833;52.508973
81.00;206.65;flow_0.0;-195418554#1_0;47.63;0.00;5.53;vehDist74;13.414798;52.508928
82.00;206.65;flow_0.0;-195418554#1_0;53.30;0.00;5.67;vehDist74;13.414762;52.508882
83.00;206.65;flow_0.0;-195418554#1_0;58.50;0.00;5.19;vehDist74;13.414729;52.508840
84.00;206.65;flow_0.0;-195418554#1_0;64.19;0.00;5.69;vehDist74;13.414693;52.508794
85.00;206.65;flow_0.0;-195418554#1_0;69.59;0.00;5.41;vehDist74;13.414659;52.508750
86.00;206.65;flow_0.0;-195418554#1_0;74.72;0.00;5.13;vehDist74;13.414627;52.508708
87.00;206.65;flow_0.0;-195418554#1_0;79.93;0.00;5.21;vehDist74;13.414594;52.508666
88.00;206.65;flow_0.0;-195418554#1_0;85.22;0.00;5.29;vehDist74;13.414560;52.508623
89.00;206.65;flow_0.0;-195418554#1_0;90.51;0.00;5.29;vehDist74;13.414527;52.508580
90.00;206.65;flow_0.0;-195418554#1_0;95.82;0.00;5.31;vehDist74;13.414493;52.508537
91.00;206.25;flow_0.0;:5491239139_0_0;1.13;0.00;5.30;vehDist74;13.414460;52.508494
92.00;206.08;flow_0.0;:5491239139_0_0;6.49;0.00;5.36;vehDist74;13.414427;52.508450
93.00;205.43;flow_0.0;-195418554#0_0;2.20;0.00;5.27;vehDist74;13.414394;52.508407
94.00;205.43;flow_0.0;-195418554#0_0;7.35;0.00;5.15;vehDist74;13.414363;52.508365
95.00;205.43;flow_0.0;-195418554#0_0;12.69;0.00;5.34;vehDist74;13.414331;52.508321
96.00;205.43;flow_0.0;-195418554#0_0;17.91;0.00;5.22;vehDist74;13.414300;52.508278
