timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;196.54;flow_0.0;-4612431#2_0;1.70;0.00;0.00;vehDist74;13.417124;52.512435
1.00;196.54;flow_0.0;-4612431#2_0;2.15;0.00;0.45;vehDist74;13.417122;52.512431
2.00;196.54;flow_0.0;-4612431#2_0;3.28;0.00;1.13;vehDist74;13.417118;52.512422
3.00;196.54;flow_0.0;-4612431#2_0;4.86;0.00;1.58;vehDist74;13.417112;52.512408
4.00;196.54;flow_0.0;-4612431#2_0;7.09;0.00;2.22;vehDist74;13.417103;52.512389
5.00;196.54;flow_0.0;-4612431#2_0;9.94;0.00;2.85;vehDist74;13.417092;52.512364
6.00;198.39;flow_0.0;-4612431#2_0;13.40;0.00;3.47;vehDist74;13.417077;52.512334
7.00;198.39;flow_0.0;-4612431#2_0;17.31;0.00;3.91;vehDist74;13.417060;52.512300
8.00;198.39;flow_0.0;-4612431#2_0;21.71;0.00;4.40;vehDist74;13.417041;52.512263
9.00;198.39;flow_0.0;-4612431#2_0;26.48;0.00;4.77;vehDist74;13.417021;52.512222
10.00;198.39;flow_0.0;-4612431#2_0;31.70;0.00;5.22;vehDist74;13.416998;52.512177
11.00;198.39;flow_0.0;-4612431#2_0;36.76;0.00;5.06;vehDist74;13.416976;52.512134
12.00;198.39;flow_0.0;-4612431#2_0;42.04;0.00;5.28;vehDist74;13.416953;52.512088
13.00;198.39;flow_0.0;-4612431#2_0;47.02;0.00;4.98;vehDist74;13.416931;52.512045
14.00;198.39;flow_0.0;-4612431#2_0;52.00;0.00;4.97;vehDist74;13.416910;52.512003
15.00;198.39;flow_0.0;-4612431#2_0;57.14;0.00;5.14;vehDist74;13.416888;52.511959
16.00;198.39;flow_0.0;-4612431#2_0;62.25;0.00;5.11;vehDist74;13.416865;52.511915
17.00;198.47;flow_0.0;:28794540_1_0;2.69;0.00;5.27;vehDist74;13.416842;52.511870
18.00;198.47;flow_0.0;:28794540_1_0;7.84;0.00;5.14;vehDist74;13.416820;52.511825
19.00;198.46;flow_0.0;-4612431#1_0;3.44;0.00;5.00;vehDist74;13.416798;52.511782
20.00;198.46;flow_0.0;-4612431#1_0;8.45;0.00;5.02;vehDist74;13.416776;52.511739
21.00;198.46;flow_0.0;-4612431#1_0;13.43;0.00;4.98;vehDist74;13.416755;52.511697
22.00;198.46;flow_0.0;-4612431#1_0;18.59;0.00;5.16;vehDist74;13.416732;52.511652
23.00;198.46;flow_0.0;-4612431#1_0;23.61;0.00;5.02;vehDist74;13.416710;52.511609
24.00;198.46;flow_0.0;-4612431#1_0;28.68;0.00;5.07;vehDist74;13.416688;52.511566
25.00;198.46;flow_0.0;-4612431#1_0;33.75;0.00;5.07;vehDist74;13.416666;52.511522
26.00;198.46;flow_0.0;-4612431#1_0;38.98;0.00;5.23;vehDist74;13.416643;52.511477
27.00;198.46;flow_0.0;-4612431#1_0;44.20;0.00;5.22;vehDist74;13.416621;52.511432
28.00;198.46;flow_0.0;-4612431#1_0;49.38;0.00;5.18;vehDist74;13.416598;52.511388
29.00;198.46;flow_0.0;-4612431#1_0;54.51;0.00;5.13;vehDist74;13.416576;52.511344
30.00;198.46;flow_0.0;-4612431#1_0;59.74;0.00;5.23;vehDist74;13.416553;52.511299
31.00;199.03;flow_0.0;:cluster_262486232_26960762_3352479268_3352479273_4870571784_4870571790_4912133691_4912133692_4918035206_4918035207_5053239046_5053239538_5053239838_5053240253_6404935361_6900050065_6900306512_8269617289_8269617290_972319914_20_0;2.97;0.00;5.27;vehDist74;13.416529;52.511254
32.00;199.03;flow_0.0;:cluster_262486232_26960762_3352479268_3352479273_4870571784_4870571790_4912133691_4912133692_4918035206_4918035207_5053239046_5053239538_5053239838_5053240253_6404935361_6900050065_6900306512_8269617289_8269617290_972319914_20_0;8.22;0.00;5.25;vehDist74;13.416506;52.511209
33.00;199.91;flow_0.0;:cluster_262486232_26960762_3352479268_3352479273_4870571784_4870571790_4912133691_4912133692_4918035206_4918035207_5053239046_5053239538_5053239838_5053240253_6404935361_6900050065_6900306512_8269617289_8269617290_972319914_20_0;13.19;0.00;4.96;vehDist74;13.416483;52.511166
34.00;199.91;flow_0.0;:cluster_262486232_26960762_3352479268_3352479273_4870571784_4870571790_4912133691_4912133692_4918035206_4918035207_5053239046_5053239538_5053239838_5053240253_6404935361_6900050065_6900306512_8269617289_8269617290_972319914_20_0;18.23;0.00;5.04;vehDist74;13.416459;52.511123
35.00;200.62;flow_0.0;:cluster_262486232_26960762_3352479268_3352479273_4870571784_4870571790_4912133691_4912133692_4918035206_4918035207_5053239046_5053239538_5053239838_5053240253_6404935361_6900050065_6900306512_8269617289_8269617290_972319914_20_0;23.29;0.00;5.07;vehDist74;13.416435;52.511080
36.00;201.04;flow_0.0;:cluster_262486232_26960762_3352479268_3352479273_4870571784_4870571790_4912133691_4912133692_4918035206_4918035207_5053239046_5053239538_5053239838_5053240253_6404935361_6900050065_6900306512_8269617289_8269617290_972319914_20_0;28.36;0.00;5.07;vehDist74;13.416410;52.511037
37.00;201.04;flow_0.0;:cluster_262486232_26960762_3352479268_3352479273_4870571784_4870571790_4912133691_4912133692_4918035206_4918035207_5053239046_5053239538_5053239838_5053240253_6404935361_6900050065_6900306512_8269617289_8269617290_972319914_20_0;33.59;0.00;5.22;vehDist74;13.416383;52.510993
38.00;203.39;flow_0.0;:cluster_262486232_26960762_3352479268_3352479273_4870571784_4870571790_4912133691_4912133692_4918035206_4918035207_5053239046_5053239538_5053239838_5053240253_6404935361_6900050065_6900306512_8269617289_8269617290_972319914_20_0;38.75;0.00;5.16;vehDist74;13.416356;52.510950
39.00;203.39;flow_0.0;:cluster_262486232_26960762_3352479268_3352479273_4870571784_4870571790_4912133691_4912133692_4918035206_4918035207_5053239046_5053239538_5053239838_5053240253_6404935361_6900050065_6900306512_8269617289_8269617290_972319914_20_0;43.99;0.00;5.24;vehDist74;13.416326;52.510906
40.00;206.00;flow_0.0;-328426213#1_0;4.70;0.00;5.27;vehDist74;13.416294;52.510863
41.00;206.00;flow_0.0;-328426213#1_0;9.76;0.00;5.06;vehDist74;13.416263;52.510822
42.00;205.84;flow_0.0;-328426213#1_0;15.06;0.00;5.29;vehDist74;13.416231;52.510779
43.00;205.84;flow_0.0;-328426213#1_0;20.21;0.00;5.15;vehDist74;13.416199;52.510737
44.00;205.52;flow_0.0;-328426213#1_0;25.16;0.00;4.95;vehDist74;13.416169;52.510696
45.00;205.52;flow_0.0;-328426213#1_0;30.19;0.00;5.03;vehDist74;13.416138;52.510655
46.00;205.53;flow_0.0;:287923220_0_0;0.04;0.00;4.96;vehDist74;13.416108;52.510614
