timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;196.544044;flow_0.0;-4612431#2_0;1.700000;0.000000;0.000000;vehDist0;13.417124;52.512435
1.00;196.544044;flow_0.0;-4612431#2_0;2.429078;0.000000;0.729078;vehDist0;13.417121;52.512429
2.00;196.544044;flow_0.0;-4612431#2_0;4.254986;0.000000;1.825908;vehDist0;13.417114;52.512413
3.00;196.544044;flow_0.0;-4612431#2_0;6.824866;0.000000;2.569880;vehDist0;13.417104;52.512391
4.00;196.742058;flow_0.0;-4612431#2_0;10.432887;0.000000;3.608021;vehDist0;13.417090;52.512360
5.00;198.388426;flow_0.0;-4612431#2_0;15.061706;0.000000;4.628819;vehDist0;13.417070;52.512320
6.00;198.388426;flow_0.0;-4612431#2_0;20.407380;0.000000;5.345674;vehDist0;13.417047;52.512274
7.00;198.388426;flow_0.0;-4612431#2_0;25.482232;0.000000;5.074852;vehDist0;13.417025;52.512230
8.00;198.388426;flow_0.0;-4612431#2_0;30.626679;0.000000;5.144447;vehDist0;13.417003;52.512186
9.00;198.388426;flow_0.0;-4612431#2_0;35.593289;0.000000;4.966610;vehDist0;13.416981;52.512144
10.00;198.388426;flow_0.0;-4612431#2_0;40.990937;0.000000;5.397648;vehDist0;13.416958;52.512097
11.00;198.388426;flow_0.0;-4612431#2_0;46.135317;0.000000;5.144379;vehDist0;13.416935;52.512053
12.00;198.388426;flow_0.0;-4612431#2_0;51.632347;0.000000;5.497030;vehDist0;13.416911;52.512006
13.00;198.388426;flow_0.0;-4612431#2_0;56.644029;0.000000;5.011682;vehDist0;13.416890;52.511963
14.00;198.388426;flow_0.0;-4612431#2_0;61.644017;0.000000;4.999988;vehDist0;13.416868;52.511920
15.00;198.473480;flow_0.0;:28794540_1_0;2.087755;0.000000;5.263738;vehDist0;13.416845;52.511875
16.00;198.473480;flow_0.0;:28794540_1_0;7.360506;0.000000;5.272750;vehDist0;13.416822;52.511829
17.00;198.461227;flow_0.0;-4612431#1_0;3.005352;0.000000;5.044847;vehDist0;13.416800;52.511786
18.00;198.461227;flow_0.0;-4612431#1_0;8.072882;0.000000;5.067529;vehDist0;13.416778;52.511743
19.00;198.461227;flow_0.0;-4612431#1_0;13.075723;0.000000;5.002842;vehDist0;13.416756;52.511700
20.00;198.461227;flow_0.0;-4612431#1_0;18.373808;0.000000;5.298084;vehDist0;13.416733;52.511654
21.00;198.461227;flow_0.0;-4612431#1_0;23.451578;0.000000;5.077771;vehDist0;13.416711;52.511610
22.00;198.461227;flow_0.0;-4612431#1_0;28.603245;0.000000;5.151667;vehDist0;13.416689;52.511566
23.00;198.461227;flow_0.0;-4612431#1_0;33.762177;0.000000;5.158932;vehDist0;13.416666;52.511522
24.00;198.461227;flow_0.0;-4612431#1_0;39.179563;0.000000;5.417386;vehDist0;13.416642;52.511475
25.00;198.461227;flow_0.0;-4612431#1_0;44.575458;0.000000;5.395895;vehDist0;13.416619;52.511429
